,count,mean,std,min,25%,50%,75%,max
gasres_step0,766.0,37439145.54114565,77672917.77815463,41862.048828,504138.9453125,20495904.0,53338625.0,1772659000.0
gasres_step1,766.0,4607920.33494084,18920028.670130234,5684.846191,88432.249024,127176.539062,160995.072266,202284125.0
gasres_step2,766.0,142608271.63598824,356357196.3299195,9398.277343,185516.47070325,264271.363281,2587174.125,1940452625.0
gasres_step3,766.0,107799411.8099292,337365731.06125784,5684.846191,103774.76367225,132794.115234,1007199.328125,2029247500.0
gasres_step4,766.0,97516241.0236759,227837763.33879387,11506.708008,281027.90234375,436698.4765625,1150719.3203125,1593762750.0
gasres_step5,766.0,54228923.296068,154445835.10686463,23185.719726,237004.1894535,345820.3515625,549310.3515625,1269363875.0
gasres_step6,766.0,28179022.83421641,106134160.53623082,11059.798828,124193.51464875,214524.3710935,465975.1953125,1253457625.0
gasres_step7,766.0,79436033.35639717,277805246.6978129,8627.855713,115576.40039025,174745.886719,1763973.34375,1858305625.0
gasres_step8,766.0,19457757.24781739,50234214.86763066,52085.291015,229779.54492225,334743.3828125,9459854.625,403727125.0
gasres_step9,766.0,90038379.31209968,258916873.12524793,57531.408204,233200.99609375,331264.3984375,1962581.671875,1964374625.0
