,,Deospray,Rasur,Raumspray,Zähneputzen
gasres_step0,count,232.0,183.0,206.0,145.0
gasres_step0,mean,21642130.98352471,27444001.062905546,43074030.06701305,67323508.33119611
gasres_step0,std,26778884.374440316,30590210.41117204,60967271.97240835,151500525.83419633
gasres_step0,min,41862.048828,138968.644531,82426.042968,174203.117188
gasres_step0,25%,360473.25390625,261704.953125,323938.59375,5539725.25
gasres_step0,50%,11846254.25,16874930.0,31334049.5,53231024.0
gasres_step0,75%,29575363.0,45206922.0,52663738.5,102400000.0
gasres_step0,max,120628295.765625,108836538.296875,725992034.0,1772659000.0
gasres_step1,count,232.0,183.0,206.0,145.0
gasres_step1,mean,3074168.8037761766,5341415.4473856995,4883083.215795349,5745280.30871162
gasres_step1,std,16749164.849207137,17801044.966879558,18019455.85061876,24146393.654900465
gasres_step1,min,8616.552246,5684.846191,5684.846191,8378.456543
gasres_step1,25%,71568.342774,80922.478516,107204.20605425,129001.53125
gasres_step1,50%,98095.425781,119368.953125,149749.261719,162491.0625
gasres_step1,75%,134815.3876955,139119.296875,174408.363281,193481.0625
gasres_step1,max,140221375.0,74318851.203125,99987065.601562,202284125.0
gasres_step2,count,232.0,183.0,206.0,145.0
gasres_step2,mean,44190191.63863817,240061366.68900487,169536534.8866998,138827967.73968884
gasres_step2,std,175834578.65663594,436169003.79621994,383982833.1887865,382054102.6717957
gasres_step2,min,19050.439453,26717.029297,9398.277343,32281.768555
gasres_step2,25%,114678.2226565,171504.6757815,204038.1796875,240900.546875
gasres_step2,50%,220349.875,493758.1875,712578.5625,494483.203125
gasres_step2,75%,623481.35546875,422126492.0625,2764140.34375,3968956.125
gasres_step2,max,1248717250.0,1796648125.0,1751065500.0,1940452625.0
gasres_step3,count,232.0,183.0,206.0,145.0
gasres_step3,mean,49380125.22790741,179980130.16033235,122270078.20984007,89614899.744575
gasres_step3,std,214958095.92019695,413764201.44605225,359970251.1112011,341937839.11845076
gasres_step3,min,11609.90625,6432.181884,5684.846191,9770.584961
gasres_step3,25%,79821.870117,101387.0058595,123410.925782,134095.472656
gasres_step3,50%,105687.6425775,117487.316406,135829.111328,150926.476562
gasres_step3,75%,654659.9609375,1492887.25,1823426.625,2259209.125
gasres_step3,max,1375559750.0,1656607875.0,1832873875.0,2029247500.0
