,count,mean,std,min,25%,50%,75%,max
gasres_step0,454.0,72755267.96628924,32821063.414590053,80402.007812,41098070.0,88998344.0,102400000.0,102400000.0
gasres_step1,454.0,5819156.152167342,27434305.106704228,5684.846191,98977.054687,128336.902344,153776.9375,170269375.0
gasres_step2,454.0,334085656.70007056,624721621.927328,24320.730469,912472.328125,2292111.25,5488442.625,2071302125.0
gasres_step3,454.0,3719156.4717657445,19989103.20972635,5684.846191,85476.04882775,108199.535156,125505.6289065,138378375.0
gasres_step4,454.0,60015279.04381625,165706720.37135708,10362.694336,303926.3359375,458063.0625,583566.875,832858875.0
gasres_step5,454.0,21690698.9277946,80928790.28154877,22284.123047,145889.8125,253528.2421875,317052.4453125,442332625.0
gasres_step6,454.0,8597171.524237676,42658350.23071588,21241.287109,134192.55078125,206139.9296875,250550.53125,313054125.0
gasres_step7,454.0,3341651.2157202777,20046853.188049056,8078.768066,83941.44335925,110154.9492185,122093.763672,147338125.0
gasres_step8,454.0,14683814.337245323,57950847.13240409,49516.441406,157248.15625,228801.28125,271312.4765625,312195125.0
gasres_step9,454.0,15958157.136279957,62352027.64931379,54168.429688,173031.421875,248997.2578125,289307.8046875,333224875.0
