,,Deospray,Rasur,Raumspray,Zähneputzen
gasres_step0,count,136.0,107.0,124.0,87.0
gasres_step0,mean,48549871.70220588,64683124.06542056,91749937.21528478,93448535.81034483
gasres_step0,std,30312320.725934353,26742861.750770517,23718618.235515755,24180806.14042367
gasres_step0,min,5112012.5,2141139.5,80402.007812,4504811.5
gasres_step0,25%,24592524.5,44920720.0,99798458.0,102400000.0
gasres_step0,50%,36970042.0,63212924.0,102400000.0,102400000.0
gasres_step0,75%,67570609.0,89044312.0,102400000.0,102400000.0
gasres_step0,max,102400000.0,102400000.0,102400000.0,102400000.0
gasres_step1,count,136.0,107.0,124.0,87.0
gasres_step1,mean,4918703.219554177,7522888.670971458,5895814.652635096,5022105.178205828
gasres_step1,std,24884277.632791344,30640867.24861843,28266603.57619322,26209645.98408928
gasres_step1,min,46109.511719,16355.737305,5684.846191,25884.732422
gasres_step1,25%,80610.89257825,105785.773438,128361.029297,144838.28125
gasres_step1,50%,93064.757813,119402.984375,136989.9921875,169592.578125
gasres_step1,75%,122079.269531,127956.0625,153950.44921875,177071.15625
gasres_step1,max,142064375.0,148491875.0,152744625.0,170269375.0
gasres_step2,count,136.0,107.0,124.0,87.0
gasres_step2,mean,178452919.5680147,673375054.0982769,383090056.27321696,90241302.46192528
gasres_step2,std,422546278.9527746,729767165.464573,706031162.1615528,401233678.79195917
gasres_step2,min,82821.09375,144347.328125,24320.730469,288450.71875
gasres_step2,25%,360507.40625,1162167.75,1949695.1875,2674939.375
gasres_step2,50%,639006.59375,2199785.25,2383127.75,3404113.75
gasres_step2,75%,2266041.9375,1378801000.0,3152204.625,4458874.25
gasres_step2,max,1915809125.0,2060362125.0,1995615125.0,2071302125.0
gasres_step3,count,136.0,107.0,124.0,87.0
gasres_step3,mean,2842161.4218965955,4209343.280574618,3619677.033100766,4629004.616985425
gasres_step3,std,16452334.262310483,21124502.28453268,19610337.04593615,24028538.785385225
gasres_step3,min,14238.041992,17495.898438,5684.846191,26879.462891
gasres_step3,25%,74213.6953125,89510.585937,107772.4667965,119697.8632815
gasres_step3,50%,81128.3515625,103350.828125,115881.25,138715.796875
gasres_step3,75%,103132.49609375,108199.535156,124589.4160155,144653.2265625
gasres_step3,max,119990625.0,128869875.0,126201625.0,138378375.0
gasres_step4,count,136.0,107.0,124.0,87.0
gasres_step4,mean,36005008.26967486,57606713.16110543,70350413.59338772,85780298.47584409
