hidden_layers,learning_rate,dropout,accuracy,f1_macro,balanced_accuracy
"[20, 10]",0.001,0.0,0.5126582278481012,0.5149336733952754,0.535952380952381
"[32, 16]",0.001,0.0,0.5063291139240507,0.5082036885033555,0.5117460317460317
"[64, 32]",0.001,0.0,0.45569620253164556,0.4531964060494361,0.47523809523809524
"[128, 64]",0.001,0.0,0.45569620253164556,0.40392812978185827,0.41555555555555557
"[20, 10]",0.0001,0.0,0.47468354430379744,0.4883202672743816,0.48523809523809525
"[20, 10]",0.001,0.0,0.4873417721518987,0.4907476858796991,0.5084920634920636
"[20, 10]",0.01,0.0,0.44936708860759494,0.41044234586162,0.40849206349206346
"[20, 10]",0.001,0.0,0.4240506329113924,0.37609877273291425,0.39365079365079364
"[20, 10]",0.001,0.2,0.4240506329113924,0.3833314115945453,0.3996031746031746
"[20, 10]",0.001,0.4,0.44936708860759494,0.40056772518142547,0.41134920634920635
