vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L1__93,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,5,heater_412,0,2,36098044.000000,207834375.000000,589352.500000,66286.898438,220167.703125,258520.578125,277883.312500,86779.664062,332899875.000000,400782.781250
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L1__94,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,5,heater_412,1,0,36098044.000000,207834375.000000,1364878375.000000,133821.218750,440619625.000000,148105.296875,139737.984375,95380.031250,230734.562500,268273.500000
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L1__95,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,5,heater_412,2,0,12720497.000000,98234.843750,226749.328125,66597.296875,177346.734375,96349.265625,94587.101562,68632.710938,152744625.000000,175703.500000
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L1__96,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,5,heater_412,3,0,7423652.000000,111888.109375,398909.218750,90651.554688,284128.750000,171639.296875,153846.156250,95061.273438,186046.515625,198180.765625
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L1__97,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,5,heater_412,4,0,9309091.000000,124091.132812,484733.718750,98575.281250,321608.031250,200981.359375,175342.468750,102728.734375,217502125.000000,223045.093750
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L1__98,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,5,heater_412,5,0,11007054.000000,127617.148438,495284.156250,99843.992188,322824.718750,204228.156250,178833.390625,102914.570312,217225.281250,221309.703125
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L1__99,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,5,heater_412,6,0,11119104.000000,126295.015625,494566.531250,98065.507812,322215.218750,203619.015625,178646.203125,102053.023438,217918.703125,225401.718750
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L1__100,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,5,heater_412,7,0,11566537.000000,125367.289062,489249875.000000,97449.562500,309085.406250,199687.984375,172158.703125,99843.992188,212227.984375,222029.484375
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L1__101,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,5,heater_412,8,0,11130435.000000,124181.421875,497087375.000000,96403.687500,309927375.000000,193682625.000000,170099.671875,98632.250000,206701.656250,211439.187500
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min__L1__102,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_HP_Exp_3_Deo_sprühen__10.0min,unsplit,5,heater_412,9,0,10101110.000000,119319.507812,458987.000000,91624.914062,297501.437500,187271.390625,170439.421875,98348.062500,213555.781250,220025.781250
