vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__132,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,7,heater_413,0,2,42077688.000000,123731.273438,108405.671875,14238.041992,39788.621094,76509.265625,95916.070312,25467.568359,127712.648438,183842.015625
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__133,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,7,heater_413,1,1,42077688.000000,123731.273438,1061414875.000000,105916.421875,387365.250000,207077.859375,172506.734375,66730.831054,186046.515625,213823.343750
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__134,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,7,heater_413,2,0,54398008.000000,134559.796875,1041179.437500,108405.671875,366499.656250,159154.484375,135306.546875,107994.093750,186861.312500,206077.687500
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__135,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,7,heater_413,3,0,52439288.000000,125829.445312,902799.187500,114592.656250,422355125.000000,183249.828125,146704875.000000,111961.515625,207961.000000,209621.296875
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__136,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,7,heater_413,4,0,55188212.000000,121528.601562,695652.187500,101506.742188,322824.718750,126388.546875,102175.210938,95433.367188,159900.062500,157393.171875
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__137,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,7,heater_413,5,0,35083512.000000,107721.437500,589861.750000,97728.570312,315951875.000000,134136.750000,111888.109375,99263.281250,169930.296875,169088.500000
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__138,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,7,heater_413,6,0,40819684.000000,110083.851562,622114.187500,98121.882812,312480.937500,124725.945312,100549.882812,94744.632812,160652.656250,162025.312500
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__139,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,7,heater_413,7,0,40934416.000000,101627.632812,516649.843750,90172.593750,284602.562500,113676.734375,94273.617188,89887.640625,154263.328125,157103.406250
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__140,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,7,heater_413,8,0,35224940.000000,104682.070312,574957875.000000,93910.492188,298020.968750,120075.046875,96294.906250,90651.554688,153018.531250,154402.890625
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L1__141,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,7,heater_413,9,0,33573772.000000,101748.804688,548179875.000000,91038.406250,288207.156250,116073.453125,94902.687500,89323.101562,153984.968750,156240.468750
