vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__106,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,0,0,7027235.500000,69189.187500,747445.250000,66030.437500,225699.796875,295185.937500,328731.937500,91038.406250,330963.156250,409436.218750
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__107,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,1,0,51420948.000000,224070.015625,2309557.250000,170951.593750,696361.812500,580828125.000000,524993.562500,174803.687500,206326.812500,291405.812500
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__108,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,2,0,29140062.000000,167923.906250,1106130125.000000,133090.718750,473635.531250,332575.500000,321003125.000000,140197.156250,294930875.000000,318606.093750
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__109,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,3,0,29316036.000000,178272.984375,1177688375.000000,138828.640625,509326.031250,364932.281250,329048.843750,142897.015625,314786.343750,336178.593750
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__110,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,4,0,31133492.000000,182076.812500,1231879.750000,139737.984375,529472625.000000,380669.156250,334203.656250,143618.515625,330963.156250,353225.250000
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__111,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,5,0,34999200.000000,187271.390625,1286432125.000000,142777.468750,539515.250000,399375.968750,350684.937500,148621.187500,345013.468750,366893.593750
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__112,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,6,0,37524192.000000,182466.140625,1168616.250000,138154.343750,517433.062500,379399.781250,326530625.000000,142182.734375,334203.656250,357666.781250
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__113,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,7,0,35453612.000000,181882.765625,1218684875.000000,136170.218750,508188.593750,358794.687500,314206.812500,137819.656250,283420.968750,299853.593750
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__114,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,8,0,24014658.000000,150058.609375,766037.000000,114669.656250,398909.218750,263713625.000000,224659.937500,113904.335938,219601.109375,211570.250000
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__115,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,9,0,12908410.000000,126295.015625,571588.062500,102053.023438,330322.593750,217363.609375,195569.140625,105198.273438,213957375.000000,224956.062500
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__116,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,10,0,13607973.000000,128869875.000000,595521.937500,103101.085938,336842.093750,225550.656250,205210.421875,108062.476562,229957.328125,227808.671875
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__117,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,11,0,14609006.000000,132573.796875,624390.250000,104170.906250,340878.843750,228265.718750,203740.546875,108612.640625,224807.906250,186861.312500
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__118,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,12,0,9207081.000000,103917.187500,349249.656250,79134.468750,231831.562500,140891.578125,137819.656250,85992.609375,182076.812500,200863.078125
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__119,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,13,0,10984915.000000,123284375.000000,562637375.000000,101145.789062,324050625.000000,225699.796875,206826.906250,108405.671875,235510.578125,240488.500000
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__120,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,14,0,14989936.000000,131147.546875,603417.812500,102666.937500,336178.593750,222029.484375,203013.484375,108062.476562,219742.484375,224659.937500
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L1__121,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,5,heater_412,15,0,13188972.000000,128192.289062,579349375.000000,102236.421875,330963.156250,225550.656250,206202.171875,108612.640625,236325875.000000,242884.250000
