vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L1__0,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,0,heater_322,0,0,4295752.500000,58155.382812,77906.265625,471672.031250,338512.406250,311057.093750,59369.203125,154823.109375,185641.765625,201455.828125
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L1__1,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,0,heater_322,1,0,13727692.000000,139623.671875,162953.531250,1292521.250000,696361.812500,545551.437500,123195.382812,207455.421875,216124.953125,215306.984375
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L1__2,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,0,heater_322,2,0,14847304.000000,145827.406250,171466.843750,1342070.750000,690026.937500,537391.750000,127047.148438,228877.968750,242023.156250,250000.000000
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L1__3,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,0,heater_322,3,0,19073342.000000,161718.250000,194899.125000,1613551.250000,831844.000000,638404.000000,139281.828125,269757.625000,279934.375000,280394.312500
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L1__4,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,0,heater_322,4,0,22914686.000000,168921.140625,201455.828125,1690466.375000,847331.375000,630736.062500,138603.140625,269331.937500,292655.031250,301176.468750
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L1__5,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,0,heater_322,5,0,26282736.000000,178646.203125,217087.125000,1884084.625000,966037.750000,726756.562500,151389.703125,309365.562500,328415.656250,326218.531250
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L1__6,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,0,heater_322,6,0,30418194.000000,192372.718750,226448.468750,1979700.375000,988417.000000,675684.562500,138715.796875,233416.906250,246390.765625,242366.859375
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L1__7,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,0,heater_322,7,0,16433300.000000,126108.375000,138378.375000,971537.000000,393392.250000,286995.531250,91921.007812,164683.171875,156814.703125,152064.156250
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L1__8,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,0,heater_322,8,0,7918801.500000,103163.406250,124091.132812,843666.312500,355802.656250,271690.093750,87761.398438,162025.312500,175342.468750,194899.125000
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L1__9,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,0,heater_322,9,0,11397565.000000,128000.000000,158268.937500,1224148.250000,576901.437500,441189.156250,115133.796875,245681.375000,255616.578125,248906.171875
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L1__10,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,0,heater_322,10,0,16995850.000000,137486.578125,162333.546875,1252216.500000,572546.812500,421572.656250,111304.351562,225252.968750,237642.140625,250366.750000
