vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__52,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,6,heater_413,1,0,95568352.000000,147848.687500,2060362125.000000,133402.812500,576414.312500,314206.812500,255234.296875,134031.406250,248724.796875,268062.812500
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__53,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,6,heater_413,2,0,102400000.000000,155954.921875,2286352.250000,138603.140625,606635.062500,315368.031250,250183.234375,137375.906250,260692.468750,277657.281250
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__54,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,6,heater_413,3,0,102400000.000000,158415.843750,2190960.250000,136278.953125,594484.750000,311057.093750,243057.203125,136170.218750,265974.031250,280855.718750
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__55,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,6,heater_413,4,0,102400000.000000,158858.203125,2194481.750000,136278.953125,596562.750000,306862.437500,239476.140625,134878.812500,271474.031250,286513.718750
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__56,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,6,heater_413,5,0,102400000.000000,158858.203125,2203335.250000,134559.796875,599707.187500,308526.656250,239476.140625,133507.171875,271042875.000000,289674.687500
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__57,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,6,heater_413,6,0,102400000.000000,155954.921875,2170066.250000,132883.468750,585310.062500,304399.531250,237311.703125,132573.796875,274973.156250,291157.250000
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__58,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,6,heater_413,7,0,102400000.000000,155104.515625,2199785.250000,131248.390625,573027.437500,301442.437500,232621.531250,129751.648438,275416.906250,289674.687500
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__59,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,6,heater_413,8,0,102400000.000000,149010.484375,2154655.500000,128869875.000000,555766625.000000,295441.437500,229802.515625,127904.070312,270827.812500,286754.406250
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__60,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,6,heater_413,9,0,102400000.000000,149663.843750,2037304125.000000,125367.289062,546862.500000,288450.718750,224956.062500,125459.445312,269971.000000,287237.031250
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__61,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,6,heater_413,10,0,102400000.000000,148491875.000000,1976834.000000,122576.007812,529472625.000000,278791.187500,215578.953125,123462.742188,268695875.000000,265147.593750
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L1__62,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,6,heater_413,11,2,102400000.000000,121355.773438,968779.562500,98009.187500,330642.562500,131147.546875,105982.195312,87401.843750,268695875.000000,265147.593750
