vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L1__0,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,0,heater_322,0,0,133507.171875,5684.846191,6554.690918,20765.736328,40238.917969,50274.941406,7269.422852,31573.753906,60981.417969,87491.453125
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L1__1,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,0,heater_322,1,0,3442740.000000,50483.140625,63147.507812,406026.968750,295697375.000000,261091.281250,49718.390625,106777.890625,131551.906250,150322.953125
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L1__2,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,0,heater_322,2,0,7679400.000000,80629.921875,101870.273438,729864.562500,476611.593750,390690.562500,74505.242188,151928.781250,174624.828125,195793.500000
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L1__3,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,0,heater_322,3,0,11640497.000000,101265.820312,124181.421875,956562375.000000,580828125.000000,456836.937500,88397.789062,181303.109375,207961.000000,222753.968750
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L1__4,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,0,heater_322,4,0,13141368.000000,112329.968750,136935.015625,1096359.750000,639600.250000,500000.000000,97840625.000000,205087125.000000,229185.312500,239812.640625
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L1__5,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,0,heater_322,5,0,15103941.000000,119486.578125,145702.906250,1182789.500000,667101.000000,512000.000000,103413.453125,220309.812500,243577.546875,258129.562500
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L1__6,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,0,heater_322,6,0,16000000.000000,124362.398438,151658.765625,1241964875.000000,688634.812500,521384.937500,105719.593750,229493.500000,253152.046875,264736.312500
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L1__7,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,0,heater_322,7,0,16458061.000000,127808.289062,154682.781250,1281602.000000,695652.187500,516259125.000000,107247.593750,234539625.000000,259109.312500,270613.093750
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L1__8,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,0,heater_322,8,0,17555854.000000,129554.656250,157393.171875,1298668375.000000,713091.937500,534446.750000,108543.562500,240658.046875,265974.031250,275639.312500
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L1__9,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,0,heater_322,9,0,18123894.000000,130246.757812,159750.390625,1320012875.000000,713091.937500,529472625.000000,109378.335938,244624.937500,270184.687500,281783.156250
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L1__10,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,0,heater_322,10,0,19173786.000000,132573.796875,162025.312500,1347368375.000000,721380.750000,534865.500000,110583.156250,248906.171875,273650.468750,285316.250000
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L1__11,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,0,heater_322,11,0,19292316.000000,133298625.000000,162798.093750,1366244125.000000,732999.312500,525397625.000000,109729.960938,251103.484375,277657.281250,289183.843750
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L1__12,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,0,heater_322,12,0,19309370.000000,133611.687500,163265.312500,1363515375.000000,713091.937500,525397625.000000,109589.039062,251473.484375,279475.968750,287237.031250
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L1__13,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,0,heater_322,13,2,18665908.000000,116073.453125,130745.656250,968092625.000000,468435.500000,367288375.000000,96731.531250,178086.953125,279475.968750,287237.031250
