vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L1__43,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,3,heater_503,0,1,123462.742188,21347.564453,79503.109375,28648.164062,120669.335938,186861.312500,297760.968750,885813125.000000,4020613.500000,541655625.000000
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L1__44,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,3,heater_503,1,0,123462.742188,48201.843750,129260.289062,70271.757812,159750.390625,240827.843750,415163.187500,1388474625.000000,7165537.000000,825806.437500
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L1__45,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,3,heater_503,2,0,157393.171875,61156.234375,151255.546875,88397.789062,185037.953125,261491.312500,443482.031250,1514232875.000000,8229030.500000,885813125.000000
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L1__46,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,3,heater_503,3,0,166287.750000,65624.195312,159900.062500,98348.062500,209107.609375,279475.968750,478281.187500,1663688.000000,8928610.000000,964672625.000000
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L1__47,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,3,heater_503,4,0,175884.578125,69470.828125,163735.203125,103917.187500,222029.484375,283892.437500,484733.718750,1674913125.000000,8950560.000000,972921625.000000
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L1__48,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,3,heater_503,5,0,176247.843750,69189.187500,164683.171875,105719.593750,230423.046875,286754.406250,488200.250000,1691513.500000,9107282.000000,979904.312500
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L1__49,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,3,heater_503,6,0,176066.031250,69133.132812,164207.828125,106777.890625,237642.140625,290414.062500,494566.531250,1706311125.000000,9917676.000000,1008122.062500
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L1__50,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,3,heater_503,7,0,176247.843750,69357.898438,162179.281250,106246.109375,242366.859375,290414.062500,484733.718750,1687332625.000000,9160749.000000,975702.687500
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L1__51,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,3,heater_503,8,0,170951.593750,68139.476562,159154.484375,106511.335938,243925.671875,285794.031250,480300.187500,1662675.000000,8877811.000000,951230.812500
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L1__52,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,3,heater_503,9,0,169424.218750,67706.953125,157684.015625,106048.054688,244100125.000000,287721.281250,480638.343750,1696768875.000000,9253883.000000,975005.937500
