vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L1__28,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,2,heater_503,1,0,181110.718750,71869.734375,185037.953125,85733.421875,183644.187500,318903.781250,501101.062500,1500916125.000000,7690213.500000,862315.812500
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L1__29,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,2,heater_503,2,0,212757.109375,84965.148438,221453.281250,110226.046875,222029.484375,350325.000000,544680875.000000,1627980875.000000,8827586.000000,934946375.000000
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L1__30,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,2,heater_503,3,0,223483.187500,89043.476562,232146.906250,120584.078125,244449.750000,366106.531250,566371.687500,1722455875.000000,9191585.000000,970846.187500
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L1__31,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,2,heater_503,4,0,225998.671875,91526.632812,232939.031250,126015.257812,258520.578125,375641.968750,565433.437500,1708446.250000,9309091.000000,977799.000000
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L1__32,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,2,heater_503,5,0,225849.140625,91233.070312,239981.250000,131349.406250,274089.937500,384745.437500,582314.500000,1786695.750000,9784413.000000,1020937.187500
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L1__33,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,2,heater_503,6,0,224956.062500,91135.632812,238639.015625,131248.390625,280855.718750,381947.031250,568730.937500,1751175.750000,9620669.000000,979201.500000
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L1__34,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,2,heater_503,7,0,220025.781250,89698.671875,234700.890625,133298625.000000,286273.406250,381520125.000000,568730.937500,1763616.750000,9646158.000000,986275.000000
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L1__35,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,2,heater_503,8,0,215988.187500,87942.289062,230734.562500,134031.406250,292906.187500,383233.531250,569205125.000000,1754551.250000,9766915.000000,991287.500000
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L1__36,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,2,heater_503,9,0,215851.609375,87401.843750,230267.593750,133716375.000000,294676.250000,377720.406250,559410.000000,1713807.500000,9586893.000000,978499.750000
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L1__37,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,2,heater_503,10,0,210916.578125,85819.648438,229802.515625,133716375.000000,295697375.000000,379821.968750,558951.937500,1723543.000000,9663226.000000,982725.500000
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L1__38,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,2,heater_503,11,0,210786.328125,85561.500000,226148.406250,132470.890625,299327.687500,380669.156250,557127.312500,1727905.500000,9706161.000000,986275.000000
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L1__39,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,2,heater_503,12,0,209364.140625,84544.250000,225550.656250,132163.140625,300381.343750,376886.281250,555314.562500,1708446.250000,9553353.000000,964672625.000000
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L1__40,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,2,heater_503,13,0,205333875.000000,83961.953125,222174.000000,131755.015625,302511.093750,379189.031250,560328.312500,1733389.750000,9784413.000000,981312875.000000
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L1__41,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,2,heater_503,14,0,203497.609375,82580.648438,214360.484375,129162.460938,291904.218750,341561.031250,512769.156250,1560083.750000,8813341.000000,902202625.000000
