vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L1__50,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,6,heater_413,0,2,28718668.000000,82982.171875,194344.281250,20138.451172,58354.226562,80629.921875,89982.421875,28082.492188,109942.023438,138828.640625
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L1__51,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,6,heater_413,1,0,28718668.000000,82982.171875,901606875.000000,75627.773438,287478.937500,176612625.000000,152608.046875,77835.210938,150322.953125,168587.421875
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L1__52,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,6,heater_413,2,0,46266148.000000,98575.281250,1086760375.000000,85304.898438,331606.218750,194787.906250,159900.062500,86868.000000,168255.015625,181495.921875
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L1__53,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,6,heater_413,3,0,56472212.000000,103601.781250,1159682875.000000,89043.476562,348536.406250,200391.390625,162025.312500,90555.359375,177346.734375,194787.906250
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L1__54,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,6,heater_413,4,0,62090004.000000,106113.992188,1174648.750000,90172.593750,351769.156250,200744.953125,160200.250000,91233.070312,181882.765625,198180.765625
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L1__55,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,6,heater_413,5,0,65881880.000000,107045.789062,1173639.000000,90651.554688,353957.843750,198642.093750,157975.937500,90844.570312,183842.015625,200039.062500
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L1__56,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,6,heater_413,6,0,68462784.000000,106777.890625,1166619.250000,90077.414062,350325.000000,195457.140625,155670.421875,91135.632812,185440.062500,202651.890625
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L1__57,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,6,heater_413,7,0,69552664.000000,106180.007812,1163636375.000000,88765.601562,349965.812500,192481.203125,152881.453125,89698.671875,186453.015625,203013.484375
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L1__58,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,6,heater_413,8,0,69719152.000000,105523.492188,1163636375.000000,88581.312500,346766.000000,194899125.000000,153431.218750,89887.640625,186656.937500,202651.890625
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L1__59,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,6,heater_413,9,0,72495576.000000,106048.054688,1169617375.000000,88215.023438,343624.156250,193025.453125,153984.968750,89043.476562,184438.046875,205087125.000000
