vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L1__88,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,4,heater_412,0,0,1671836.750000,28306.058594,220025.781250,27344.583984,75964.390625,136825.234375,166612.437500,45470.691406,151524125.000000,209235.796875
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L1__89,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,4,heater_412,1,0,9009623.000000,108474.578125,681757.687500,94013.953125,304399.531250,304671.218750,306586.812500,112999.335938,238139.531250,277206.281250
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L1__90,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,4,heater_412,2,0,13955707.000000,133611.687500,822820.437500,112108.601562,369675.093750,340878.843750,337842.281250,131349.406250,280624.843750,313629.406250
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L1__91,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,4,heater_412,3,0,17541756.000000,145702.906250,889854.437500,120754.718750,410420.843750,357666.781250,348536.406250,139852.500000,311625.062500,341219.593750
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L1__92,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,4,heater_412,4,0,20239654.000000,153293.406250,929852.437500,124453.085938,427378.968750,366106.531250,353225.250000,145578625.000000,329684.468750,359550.562500
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L1__93,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,4,heater_412,5,0,22193024.000000,158122.296875,971537.000000,126858.273438,435837.406250,368080.531250,352860.093750,147338125.000000,339860.593750,376055.812500
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L1__94,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,4,heater_412,6,0,23355666.000000,160955.671875,994174.750000,128192.289062,442619.406250,368080.531250,355802.656250,149010.484375,350684.937500,385397.062500
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L1__95,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,4,heater_412,7,0,24904428.000000,163421.640625,1014866.187500,130445.859375,449319875.000000,377720.406250,356545.968750,149401.812500,356918.781250,393165.687500
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L1__96,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,4,heater_412,8,0,26109960.000000,164049.984375,1021701.187500,130445.859375,447552.437500,381094.156250,358041.968750,149532.703125,362221.437500,397747125.000000
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L1__97,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,4,heater_412,9,0,26782182.000000,164365.968750,1028628.812500,130346.234375,449319875.000000,378978.531250,356173.906250,150322.953125,364542.531250,400782.781250
