vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__0,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,1,0,32548298.000000,176066.031250,211308.296875,1903788.000000,1187935.000000,942042.312500,154402.890625,302779.406250,338848.437500,357666.781250
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__1,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,2,0,39207896.000000,195905875.000000,232304.906250,2137787.000000,1246500.250000,951230.812500,162179.281250,328731.937500,361837.468750,386926125.000000
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__2,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,3,0,45495316.000000,198411.156250,237311.703125,2208681.500000,1246500.250000,925440.562500,160955.671875,340199.343750,375641.968750,390914.281250
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__3,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,4,0,40404440.000000,197836.171875,235673.187500,2151260.500000,1205769.750000,898048.687500,159303.046875,341561.031250,381733.468750,397284.187500
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__4,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,5,0,41011264.000000,197492.765625,235186.031250,2124481.250000,1199414375.000000,884665.250000,157103.406250,345712.343750,386269.343750,400782.781250
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__5,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,6,0,40705592.000000,195121.953125,232146.906250,2119534.250000,1177688375.000000,871118.687500,154963.687500,343624.156250,384962.406250,400547625.000000
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__6,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,7,0,41165828.000000,192807375.000000,231046.937500,2093534375.000000,1163636375.000000,851028.437500,152199.765625,343970.437500,389353625.000000,401726.156250
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__7,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,8,0,41360680.000000,186046.515625,227505.000000,2083948125.000000,1151856.000000,835918375.000000,150322.953125,342246.000000,386706.937500,399609.750000
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__8,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,9,0,41165828.000000,183249.828125,225252.968750,2041874375.000000,1119737.500000,813990.437500,148105.296875,340199.343750,385179625.000000,397979.000000
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__9,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,10,0,40592132.000000,180154.828125,221741.015625,2016244125.000000,1100779375.000000,801565.562500,145702.906250,341219.593750,383233.531250,397747125.000000
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__10,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,11,0,41165828.000000,180727.140625,222608.703125,2029732375.000000,1129931.000000,817401.687500,145454.546875,343624.156250,390467125.000000,403626.343750
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__11,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,12,0,40292652.000000,177531.203125,220452.093750,2005876625.000000,1099007.250000,793644625.000000,142897.015625,333876.750000,378768.250000,393846.156250
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__12,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,13,0,39032756.000000,175162.500000,216124.953125,1966866.750000,1067222.500000,773413875.000000,141358.359375,333224875.000000,376678.312500,392487.531250
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__13,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,14,0,38893768.000000,173913.046875,215715.187500,1940312625.000000,1066389.000000,765178375.000000,139509.531250,333550.500000,377511.531250,391587.000000
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__14,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,15,0,38824644.000000,171985.218750,213422.265625,1926622.750000,1058124.500000,764749.812500,139054.859375,334203.656250,379821.968750,395901.812500
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L1__15,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,0,heater_322,16,0,40181484.000000,175703.500000,215578.953125,1976834.000000,1087626125.000000,784975.062500,139281.828125,336842.093750,384096.031250,399375.968750
