vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__46,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,0,2,226598.812500,81632.656250,131653375.000000,48864.285156,169424.218750,279705.000000,495643.750000,1652612.500000,9935719.000000,1153802875.000000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__47,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,1,0,226598.812500,81632.656250,196131.015625,103101.085938,233736.593750,359929.687500,666449.750000,2417945.750000,17237244.000000,1745578.500000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__48,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,2,0,291904.218750,106511.335938,238472.281250,129751.648438,278336.500000,406026.968750,735368.062500,2724310.000000,20072282.000000,1933443.500000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__49,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,3,0,311909.843750,114978.664062,253905.281250,146077.031250,306862.437500,427378.968750,770359.250000,2817056.500000,20978234.000000,2049537125.000000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__50,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,4,0,317716.406250,117512.046875,259306.156250,152199.765625,325596.187500,438919.843750,791344.687500,3076229.750000,22215594.000000,2117890.500000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__51,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,5,0,322519.687500,119486.578125,263713625.000000,156527.062500,340538.750000,440904.187500,783623.500000,2954201.250000,22513226.000000,2129451.500000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__52,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,6,0,320400.500000,118573.414062,258716.531250,158710.484375,348180.906250,432523.750000,762614.062500,2843457.250000,21473132.000000,2008827875.000000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__53,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,7,0,305489.250000,116231.554688,256000.000000,158415.843750,348180.906250,425514.218750,719859375.000000,2624799.750000,19925814.000000,1811587.750000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__54,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,8,0,291157.250000,111449.718750,248362.843750,155812.531250,350684.937500,425779625.000000,729085.062500,2650275.000000,19925814.000000,1835948.000000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__55,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,9,0,288694.656250,110368.617188,245858.343750,156670.750000,349965.812500,422355125.000000,703538.312500,2465984.250000,18049022.000000,1683172375.000000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__56,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,10,0,272123.312500,105785125.000000,241851.671875,153431.218750,357292.406250,431976375.000000,734576.750000,2619763.250000,19241338.000000,1773928125.000000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__57,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,11,0,278791.187500,108543.562500,242539.078125,155812.531250,359929.687500,432249.906250,731428.562500,2619763.250000,19360710.000000,1789036875.000000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__58,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,12,0,274089.937500,107112.968750,245152.015625,153707.593750,359172.218750,433347.437500,732999.312500,2624799.750000,18990438.000000,1764756625.000000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__59,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,13,0,276981.343750,107112.968750,243577.546875,153155.843750,360309.656250,429800625.000000,721380.750000,2624799.750000,18762096.000000,1773928125.000000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__60,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,14,0,276532.531250,107517.851562,243577.546875,154682.781250,363378.281250,439768.093750,748264.500000,2713481.250000,19656868.000000,1824905375.000000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__61,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,15,0,278109.718750,107585625.000000,239644.281250,153018.531250,362991.843750,428183.156250,726756.562500,2622279.250000,19258302.000000,1789036875.000000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__62,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,16,0,276532.531250,107045.789062,242194.890625,154402.890625,366499.656250,436953.281250,745812.062500,2732488.250000,20314942.000000,1858439.250000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__63,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,17,0,282482.750000,108062.476562,242194.890625,153431.218750,376263.093750,438356.156250,744998.187500,2724310.000000,19429588.000000,1815200.500000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L1__64,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,2,heater_503,18,0,277657.281250,106777.890625,238973.156250,153431.218750,376678.312500,442046.187500,759643.937500,2774128.000000,19998780.000000,1860972.250000
