vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L1__31,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,3,heater_503,1,0,236325.875000,84127.507812,163735.203125,95916.070312,213288.890625,314206.812500,654940.812500,2597336.750000,17612470.000000,1826125.750000
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L1__32,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,3,heater_503,2,0,296983.750000,103664.710938,191832.140625,116628.703125,243751.484375,339185.156250,705720.187500,2852367.750000,19763570.000000,1981136.625000
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L1__33,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,3,heater_503,3,0,313917.843750,108612.640625,201337.000000,126764.046875,264326.281250,357292.406250,743375.687500,3071040.250000,20798476.000000,2088730.250000
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L1__34,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,3,heater_503,4,0,324358.562500,112329.968750,206952.296875,132060.875000,275862.062500,357292.406250,729085.062500,2928852.250000,20296066.000000,2019226.000000
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L1__35,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,3,heater_503,5,0,316537.875000,110297.289062,203013.484375,134347.937500,284365.468750,363378.281250,738550.312500,2989781.000000,20660782.000000,2038825.250000
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L1__36,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,3,heater_503,6,0,315076.937500,110083.851562,205210.421875,136061.656250,293157.750000,364153.625000,751697.562500,3088407.250000,22351978.000000,2080772.125000
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L1__37,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,3,heater_503,7,0,318012.437500,110942.578125,204840.968750,137044.968750,300645.906250,375435.375000,771229.500000,3158057.000000,21664794.000000,2119534.250000
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L1__38,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,3,heater_503,8,0,320100.031250,111231.804688,205457.468750,138266.265625,306586.812500,384962.406250,791344.687500,3246285.000000,22536452.000000,2190960.250000
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L1__39,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,3,heater_503,9,0,323743.281250,111449.718750,204840.968750,138490.671875,309085.406250,383448.781250,766897.562500,3165378.750000,21859906.000000,2142819.750000
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L1__40,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,3,heater_503,10,0,313629.406250,109238.320312,203255.265625,137708.453125,312480.937500,386926.125000,775170.312500,3225196.750000,21991946.000000,2137787.000000
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L1__41,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,3,heater_503,11,0,314206.812500,109238.320312,201337.000000,138266.265625,311909.843750,377929.500000,750458.062500,3134494.000000,21161124.000000,2079187.875000
