vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L1__18,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,2,heater_503,0,2,449024.343750,138941.656250,160955.671875,54514.480469,218197.312500,423402.937500,939449.562500,4089865.250000,29979872.000000,2941472.250000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L1__19,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,2,heater_503,1,0,449024.343750,138941.656250,263103.812500,125551.742188,282249.187500,512000.000000,1129931.000000,5165195.500000,39634716.000000,3908397.000000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L1__20,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,2,heater_503,2,0,511616.281250,157538.468750,303317.531250,152471.703125,326843.281250,561249.687500,1229660.750000,6083921.500000,54499792.000000,4879094.500000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L1__21,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,2,heater_503,3,0,554863.187500,167594.109375,309646.218750,162798.093750,354693.468750,572067.062500,1237462.250000,5716678.500000,45590260.000000,4489997.500000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L1__22,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,2,heater_503,4,0,521384.937500,164207.828125,310773.906250,165642.187500,378558.218750,591394.750000,1314927.750000,6254628.500000,49191968.000000,4350504.500000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L1__23,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,2,heater_503,5,0,531120.312500,163735.203125,307415.187500,167101.828125,391362.500000,593967.500000,1320012875.000000,6401250.000000,52724056.000000,4662493.000000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L1__24,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,2,heater_503,6,0,520987.031250,161412.359375,300381.343750,166287.750000,394301125.000000,602352.937500,1355393.750000,6924767.500000,60042144.000000,5209539.000000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L1__25,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,2,heater_503,7,0,534446.750000,162179.281250,297760.968750,163735.203125,400782.781250,586819.500000,1230769.250000,5639931.000000,45400764.000000,4044433.500000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L1__26,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,2,heater_503,8,0,477946.312500,149663.843750,287478.937500,162798.093750,402436625.000000,582811625.000000,1285221.250000,6327090.000000,50852376.000000,4475280.000000
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L1__27,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,2,heater_503,9,1,494208.500000,152199.765625,288207.156250,161107.609375,403626.343750,574957875.000000,1299904.750000,6638573.500000,59148016.000000,4475280.000000
