vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L1__50,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,6,heater_413,1,0,102400000.000000,176795.578125,4248962.500000,150058.609375,719101125.000000,449615.812500,349249.656250,147338125.000000,293662.187500,316537875.000000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L1__51,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,6,heater_413,2,0,102400000.000000,184837.546875,4523467.500000,154402.890625,738550.312500,447259.218750,343970.437500,147465.437500,303587.312500,330003.218750
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L1__52,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,6,heater_413,3,0,102400000.000000,184438.046875,4420939.000000,153018.531250,725983.687500,437233125.000000,340878.843750,144837.343750,306586.812500,336842.093750
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L1__53,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,6,heater_413,4,0,102400000.000000,183446.796875,4489997.500000,148621.187500,720619.312500,435837.406250,328415.656250,143618.515625,310491.218750,333876.750000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L1__54,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,6,heater_413,5,0,102400000.000000,181882.765625,4446133.000000,149532.703125,706450.500000,428720.968750,328415.656250,141241375.000000,312195125.000000,336510.031250
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L1__55,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,6,heater_413,6,0,102400000.000000,178459.390625,4329809.500000,144960.359375,695652.187500,420275.000000,318012.437500,139509.531250,310773.906250,336842.093750
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L1__56,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,6,heater_413,7,0,102400000.000000,177716.078125,4167896.250000,141592.921875,677696875.000000,409681.937500,312480.937500,136715625.000000,310491.218750,334531.187500
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L1__57,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,6,heater_413,8,0,102400000.000000,176795.578125,4133198.750000,140427.859375,667753.500000,405303.781250,307415.187500,134559.796875,308526.656250,335188.218750
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L1__58,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,6,heater_413,9,0,102400000.000000,174090.453125,4002931.750000,138941.656250,653686.562500,397979.000000,304671.218750,133402.812500,307138.562500,335517.687500
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L1__59,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,6,heater_413,10,0,102400000.000000,172506.734375,3988315.500000,137375.906250,646260625.000000,394301125.000000,303317.531250,133716375.000000,306862.437500,335517.687500
