vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__0,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,0,heater_322,0,0,3734670.500000,52859.796875,80782.578125,490656.437500,386488.031250,344317.406250,62961.140625,206451.609375,252590.031250,280394.312500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__1,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,0,heater_322,1,0,20220920.000000,154682.781250,185440.062500,1624107875.000000,886388.250000,667101.000000,134878.812500,277206.281250,306037.062500,322215.218750
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__2,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,0,heater_322,2,0,25877986.000000,170269375.000000,208214.718750,1824905375.000000,970156.312500,707915.687500,143016.765625,301176.468750,328731.937500,340878.843750
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__3,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,0,heater_322,3,0,28531128.000000,175342.468750,213823.343750,1898493625.000000,998537.312500,714584.812500,144225.359375,312480.937500,340538.750000,352495.687500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__4,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,0,heater_322,4,0,30083084.000000,176795.578125,219037.437500,1909112125.000000,1017892625.000000,726756.562500,145454.546875,321003125.000000,349965.812500,361837.468750
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__5,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,0,heater_322,5,0,31222486.000000,177531.203125,218896.968750,1937559125.000000,1014866.187500,729085.062500,144591.921875,323743.281250,353957.843750,365322875.000000
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__6,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,0,heater_322,6,0,32000000.000000,177346.734375,218336.890625,1926622.750000,1015621125.000000,721380.750000,144103.578125,325285.906250,356918.781250,368477875.000000
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__7,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,0,heater_322,7,0,31402012.000000,172332.546875,213689.484375,1897174625.000000,1002938.312500,712347.812500,140891.578125,324976.187500,356173.906250,377094.468750
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__8,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,0,heater_322,8,0,33065590.000000,174803.687500,215578.953125,1897174625.000000,1005893.937500,715333.562500,141124.593750,325907.062500,357666.781250,376886.281250
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L1__9,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,0,heater_322,9,0,33677288.000000,174268.203125,214225.937500,1913124.750000,1024768.562500,717589375.000000,140427.859375,324050625.000000,353591.156250,378558.218750
