vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__60,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,7,heater_413,0,0,14757037.000000,42823.687500,475615.406250,39060.117188,126858.273438,150322.953125,159006.218750,50483.140625,161718.250000,196582.843750
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__61,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,7,heater_413,1,0,49865704.000000,116469.515625,1505052375.000000,103163.406250,420793.093750,278336.500000,234539625.000000,104810.648438,206576.562500,228877.968750
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__62,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,7,heater_413,2,0,68786144.000000,129162.460938,1740017.000000,111376.984375,464926.218750,293915.031250,246213.031250,113224.234375,226900.062500,246390.765625
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__63,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,7,heater_413,3,0,79848920.000000,134242.265625,1812790.500000,114209.234375,482336.312500,298020.968750,245681375.000000,115837.101562,237642.140625,259503.296875
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__64,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,7,heater_413,4,0,89316528.000000,137819.656250,1927983.000000,115994.562500,492071125.000000,301442.437500,245858.343750,117350.445312,245328.218750,265353.718750
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__65,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,7,heater_413,5,0,95882952.000000,140082.078125,1982575.000000,116948375.000000,494925.093750,301975.812500,246213.031250,117431.195312,250734.578125,271906.531250
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__66,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,7,heater_413,6,0,102400000.000000,140197.156250,2019226.000000,117999.539062,497812.343750,302243.218750,243230.406250,118081.179688,254663.015625,274089.937500
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__67,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,7,heater_413,7,0,102400000.000000,141358.359375,2031242.250000,117674.101562,498903.781250,301975.812500,246568.750000,117918.007812,256770.312500,278563.656250
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__68,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,7,heater_413,8,0,102400000.000000,141475.546875,2071302125.000000,117269.812500,495643.750000,302511.093750,245504.671875,117999.539062,257545.265625,279247.343750
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L1__69,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,7,heater_413,9,0,102400000.000000,140659.343750,2037304125.000000,115289.351562,495643.750000,302243.218750,244274.812500,116628.703125,260493.515625,280855.718750
