vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__34,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,0,0,164365.968750,56350.429688,138378375.000000,56387.664062,209492.640625,310773.906250,646260625.000000,2694736.750000,18843014.000000,2142819.750000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__35,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,1,0,310773.906250,105198.273438,200744.953125,116469.515625,261491.312500,377511.531250,796887.187500,3613586.250000,27804836.000000,2686782.500000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__36,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,2,0,353591.156250,116868.296875,218616.562500,133298625.000000,287237.031250,397747125.000000,842105.250000,3925251.500000,30481860.000000,2916340.250000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__37,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,3,0,363765.531250,120840.218750,223923.031250,140543.515625,305216.093750,414155.718750,885813125.000000,4268890.000000,34776332.000000,3315257.000000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__38,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,4,0,394757125.000000,124453.085938,225849.140625,144469.531250,319202.000000,426045.343750,912452.687500,4322955.000000,35569064.000000,3329404.500000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__39,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,5,0,393165.687500,124181.421875,227051.000000,145454.546875,326218.531250,429260125.000000,910626.937500,4275574.000000,34231392.000000,3265696.750000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__40,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,6,0,380881.531250,121615.203125,220594.578125,144225.359375,330963.156250,423928.781250,888696.000000,4239068.500000,35424864.000000,3414756.250000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__41,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,7,0,390243.906250,121355.773438,221023.093750,145578625.000000,336842.093750,431976375.000000,917357.250000,4319536.000000,35890472.000000,3333469.000000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__42,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,8,0,379610.750000,119486.578125,219037.437500,143136.703125,337174.843750,429800625.000000,950568.562500,4588070.500000,40255528.000000,3554784.000000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__43,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,9,0,392713.312500,120498.937500,216536.265625,142301.281250,339185.156250,429260125.000000,924813.750000,4493691.500000,39032756.000000,3664504.500000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__44,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,10,0,396822.312500,121183.429688,217363.609375,142420.031250,340538.750000,432797.968750,968779.562500,4706693.500000,39349144.000000,3615978.750000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L1__45,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,11,1,392487.531250,119822.140625,215715.187500,140543.515625,344317.406250,440904.187500,960600375.000000,4471615.500000,35772924.000000,3615978.750000
