vector_id,label,session,category,sensor_index,heater_profile_id,cycle_id,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__36,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,0,2,251103.484375,89043.476562,111741.593750,43301.757812,183053.265625,282951.093750,552170375.000000,2046465125.000000,12367617.000000,1401300.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__37,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,1,0,251103.484375,89043.476562,181495.921875,106978.687500,237973.500000,336510.031250,689330.187500,2828729.250000,20877986.000000,2119534.250000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__38,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,2,0,297760.968750,103413.453125,200039.062500,124000.968750,265766.937500,345712.343750,693532.000000,2947823.000000,21452046.000000,2139462.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__39,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,3,0,292906.187500,103038.843750,200981.359375,129850.367188,281087.031250,348180.906250,694944.000000,2938307.000000,22890674.000000,2305657.250000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__40,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,4,0,303317.531250,105328125.000000,201693.906250,133821.218750,289429.062500,340538.750000,673020.062500,2822880.750000,20641260.000000,2055708875.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__41,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,5,0,285554.937500,101325.945312,196696125.000000,133821.218750,293662.187500,335188.218750,642610625.000000,2678875.000000,19889530.000000,1986902.750000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__42,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,6,0,278563.656250,99552.789062,193902.671875,134559.796875,296210.593750,334531.187500,643822.687500,2708099.250000,20602326.000000,2005876625.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__43,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,7,0,275194.843750,98518375.000000,186861.312500,134031.406250,299065.406250,327470.406250,627258.812500,2589946.250000,19023512.000000,1893228625.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__44,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,8,0,264326.281250,95380.031250,182466.140625,131046.835938,299853.593750,321911.343750,607174625.000000,2472683.250000,18199390.000000,1800835375.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__45,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,9,0,260294.859375,93858.843750,179964.843750,130645.570312,297760.968750,311340.843750,592421.187500,2400937.750000,17828074.000000,1815200.500000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__46,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,10,0,256577.296875,92119.468750,177716.078125,130346.234375,300645.906250,320100.031250,597084.562500,2417945.750000,17945236.000000,1806793125.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L1__47,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,3,heater_503,11,0,249817.031250,90844.570312,178086.953125,129260.289062,300645.906250,316537875.000000,603951625.000000,2446103.250000,18184240.000000,1868613125.000000
