vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__57,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,2,2,0,73760992.000000,140885.421875,706240777.218750,113448.382812,399786.093750,165138.742188,136120.781250,110347.476562,192005.937500,107081726.343750
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__58,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,3,3,0,68135856.000000,129877.839843,620869462.093750,118321.359375,211411459.250000,97541187.414062,73426618.898438,114696.355468,214563.656250,210924.640625
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__59,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,4,4,0,72025294.000000,123218.558593,797738.218750,104716.273438,342908.281250,129378.351562,102983.003907,98021.261719,164077.539062,161517.679688
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__60,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,5,5,0,47095758.000000,111739.984375,416470493.375000,101921.281250,345693625.000000,140106.890625,112556.171875,100749.851562,172456.601562,173402.289062
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__61,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,6,6,0,53753012.000000,113797.949218,730299.687500,100767.667968,333587.203125,127785.921875,101393.152343,96041.519531,164041.171875,164645.453125
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__62,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,7,7,0,50303766.000000,105016.652343,617497.140625,94317.066406,302652.046875,118838.851562,95778.269532,92211.175782,157990.789062,160497.929688
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__63,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,8,8,0,46948190.000000,108543.011718,687322750.000000,96877.242188,318434.703125,124667.667968,97492.093750,91485.171875,156235.210938,156262.593750
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__64,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,9,9,0,44156274.000000,105987.425782,274468705.750000,94551.957031,307838.781250,120951.449218,96259.734375,90424.867187,158313.960938,159987.835938
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__65,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,10,10,0,46607042.000000,105720.257812,641434.000000,93269.992188,303275.640625,120011.007812,94728.937500,89708.578125,156292.851562,157035.421875
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__66,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,11,11,0,44620434.000000,104635.738281,641850.656250,92626.851562,302632.265625,119743.410156,93824.460937,88796.734375,157301.570312,157679.281250
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__67,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,12,12,0,43558474.000000,52713926.152344,602574.140625,89099.359375,136759343.343750,110215.835938,41733233.503906,80591.863282,66713408.644531,132356.281250
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__68,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,13,13,0,32858837.000000,90081.093750,195503107.125000,80871.363281,248406.117188,94742.125000,75820.843750,78941.925781,135406.542969,136595.804688
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__69,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,14,14,0,33607591.000000,90202.535156,261687106.000000,78627.902343,235709.148438,41738241.519531,69051.136718,74899.679688,124690.785156,125859.613281
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__70,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,15,15,0,28676057.000000,85892.132812,434443.687500,78493.550782,235956.078125,88544.300782,70973.304688,75302.562500,123920.343750,125597.453125
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__71,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,16,16,0,28846767.000000,85765.656250,419661.234375,76301.617188,225847.234375,84238.921875,70008.101562,75566.406250,131975.964844,133800.484375
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__72,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,17,17,0,31999019.000000,87688.031250,451838.500000,78705.925782,238517.218750,90185.507813,72054.757813,76202.777344,131217.738282,133392.699219
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__73,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,18,18,0,31973011.000000,90215.644532,480220.921875,80239.132813,248849.250000,94996.070312,75219.140625,78008.984375,134261.726562,65895820.632812
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)__L2__74,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2),unsplit,heater_413,19,19,0,33058488.000000,89821.957032,470381.015625,79746.644532,245051.882812,93638.019531,74590.910156,77296.707032,132163.484375,120011.953125
