vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L2__0,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,heater_322,0,0,0,128218.171875,5684.846191,6256.306640,20274.676758,40013.769532,49639.767578,6860.517822,35034.998047,67388.951172,95234.062500
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L2__1,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,heater_322,1,1,0,3195281.500000,52621.250000,68218.472656,445380.343750,148002533.656250,261996.218750,53165.253907,115120.316407,140346.296875,84452223.976562
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L2__2,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,heater_322,2,2,0,7695666.000000,83971.167968,108231.464844,805551.906250,477614.046875,377228.046875,78147.191407,161184.101562,185887.695312,204674.640625
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L2__3,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,heater_322,3,3,0,11357254.000000,103789.054687,130339.179688,1032243875.000000,290691494.093750,435747.890625,92103.085937,191917.375000,216310.468750,228245.281250
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L2__4,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,heater_322,4,4,0,11735879.500000,109890.062500,138739.265625,574539242.375000,599734.500000,460137.500000,48969973.023438,102652730.945312,233912.164062,245921.578125
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L2__5,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,heater_322,5,5,0,14218908.500000,118378.195312,149429.375000,640791457.250000,630018.375000,215156312.500000,103983.628907,225834.976562,248270.984375,260515.359375
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L2__6,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,heater_322,6,6,0,15184389.500000,122473.238282,153878.164062,621639901.375000,646560.625000,214486629.968750,106115.464844,234568.890625,255348.656250,135653805.656250
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L2__7,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,heater_322,7,7,0,15067094.000000,124324.253906,78269153.890625,663853238.500000,644036.687500,469307125.000000,105996.957031,237768750.000000,260702.203125,136741494.046875
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L2__8,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,heater_322,8,8,0,16201579.000000,125846.031250,159250.390625,650015265.000000,661762.062500,485281.296875,107828.265625,243702.515625,267440.796875,276761.312500
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L2__9,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,heater_322,9,9,0,16640115.500000,126854.750000,159900.203125,1338376750.000000,302332358.468750,264948013.968750,107483.558594,246584.312500,135656529.843750,281435.093750
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L2__10,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,heater_322,10,10,0,17517193.000000,129108.984375,162256.703125,674367993.875000,306947502.875000,480988.531250,108915.375000,250561.460938,273760.250000,283782.718750
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L2__11,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,heater_322,11,11,0,17519296.000000,66711312.984375,161274.242188,1361492375.000000,666090.062500,262906900.281250,107561.562500,250460.257812,275107.593750,286656.296875
BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur__L2__12,Rasur,BME688_2026-06-19_07-38-04_mufpzvgtzjv57lym_HP_Exp_3_Rasur,unsplit,heater_322,12,12,0,17377522.500000,128537.214844,161507.851562,682442866.500000,652243.343750,469025625.000000,107491.101562,251938.367188,276893.093750,283014.109375
