vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__24,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,0,0,0,2408694.500000,16882.982910,147401.406250,17831.117188,49556.505860,80370.582032,91928.906250,26357.539062,95611.160157,127175.953125
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__25,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,1,1,0,17976285.000000,79631.019532,796125.500000,74900.425782,283138.062500,194984.187500,168480.640625,79392.582032,150017.039062,171312.000000
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__26,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,2,2,0,32915314.000000,100131.730469,1030038.781250,89417.582032,349308.625000,221557.085938,187990.093750,94880.187500,176988.242188,199576.757812
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__27,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,3,3,0,45211610.000000,110743.468750,682979129.500000,99123.578125,400399.687500,243759.437500,205076.445312,102707.945313,200651.984375,219115.882812
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__28,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,4,4,0,54181326.000000,118053.914062,762361717.875000,103446.398438,421714.031250,252685.226562,209651.000000,106683.289062,213161.023438,231849.632812
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__29,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,5,5,0,62040466.000000,121970.375000,810757881.875000,106445.941407,223111797.515625,257935.835938,108648437.554688,109470.273438,220737.320312,238725.992188
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__30,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,6,6,0,68391208.000000,61705475.511719,835043276.375000,108096.968750,215943758.921875,261191.210938,214548.132812,110393.035156,226674.671875,122963794.015625
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__31,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,7,7,0,74172338.000000,125467.648438,1499130375.000000,108302.757812,448209.609375,259503.445312,108648760.773438,110813.660156,230968.789062,248906.703125
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__32,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,8,8,0,75069780.000000,126394.160157,1501446750.000000,108336.859375,228180272.421875,261091.890625,213010.140625,110988.515625,232385.296875,252870.757812
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__33,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,9,9,0,79342896.000000,62656219.890625,673870031.375000,108167.648438,446351.093750,260993.328125,212950.203125,110585.425781,118281264.289062,252778.343750
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__34,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,10,10,0,81215374.000000,127347.457031,1518611000.000000,107421.035156,443148.312500,256678.164062,210688.335938,110336.269532,117388468.351562,254663.156250
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__35,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,11,11,0,81864130.000000,127113.644532,1498101750.000000,106911.839843,441920.578125,252496.640625,205035.015625,109282.710937,232305.867188,248731.273438
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__36,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,12,12,0,80262020.000000,123942.558594,805030381.875000,105040.003907,430714.968750,247380.179688,202189.929688,108271.664063,230988.039062,248004.031250
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__37,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,13,13,0,78006432.000000,123564.816406,1441501000.000000,104460.019531,428439.515625,246040.164062,200292.406250,107184.464844,229662.867188,249000.968750
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__38,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,14,14,0,79919030.000000,124194.308593,1453342625.000000,104171.875000,430823.421875,247114.734375,199267.671875,107419.417969,228588.757812,249089.937500
BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur__L2__39,Rasur,BME688_2026-06-22_06-30-00_fo6gb2iih6ksbvbm_HP_Exp_3_Rasur,unsplit,heater_413,15,15,0,81437990.000000,63115563.667969,1467098.750000,104241.101562,430864.750000,244206.960938,191108.054688,105474.398438,224226.882812,241085.421875
