vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L2__38,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,heater_413,1,1,0,32277649.000000,87532.136718,960922.406250,39208621.300781,306810.515625,207231.531250,177538.125000,84979.386718,160836.179688,180935.054688
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L2__39,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,heater_413,2,2,0,53861942.000000,105491.746094,1175775.781250,93775.320312,375437.671875,233281.914062,197497.000000,98102.511718,187164.281250,206598.937500
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L2__40,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,heater_413,3,3,0,68082866.000000,113396.152343,1285222750.000000,100120.359375,404012.406250,242111.898438,201458.359375,103675.765625,205418.429688,222729.296875
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L2__41,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,heater_413,4,4,0,82542828.000000,119791.140625,598947725.125000,52944175.402344,223103787.921875,249472.078125,205094.523438,107999.328125,217608.593750,235722.750000
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L2__42,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,heater_413,5,5,0,88090516.000000,123836.734375,865140613.500000,106733.203125,211407519.828125,254208.398438,207785.164062,110048.644532,226250.406250,243643.179688
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L2__43,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,heater_413,6,6,0,91418472.000000,125842.558593,650215995.875000,107926.718750,445776.921875,254387.289062,207298.593750,111450.476562,231483.304688,248470.648438
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L2__44,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,heater_413,7,7,0,93852784.000000,127549.328125,907667031.250000,109320.628906,216225499.203125,131981447.359375,207960.335938,111964.597657,120616937.039062,255055.125000
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L2__45,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,heater_413,8,8,0,97662956.000000,129449.363281,689564032.125000,110257.136718,459385.468750,260011.390625,210505.601562,113151.609375,240756.117188,259116.632812
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L2__46,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,heater_413,9,9,0,98416140.000000,66713025.789062,1637760.375000,110518.859375,460344.953125,260431.765625,210057.898438,113905.605469,245433.195312,263840.164062
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray__L2__47,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_HP_Exp_3_Bad_Raumspray,unsplit,heater_413,10,10,0,99673372.000000,131184.042968,1657750875.000000,110439.265625,459892.578125,261100.539062,210438.843750,113038.257812,246809.414062,264645.171875
