vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L2__15,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,1,1,0,102400000.000000,171622.757812,3700775.250000,147386.570312,359868871.468750,432263.328125,339946.109375,73740035.609375,287722.671875,158421682.125000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L2__16,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,2,2,0,102400000.000000,179110.273438,3859237.625000,149804.960938,325965462.656250,427735.656250,336351.187500,145421.320312,299898.953125,324453.500000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L2__17,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,3,3,0,102400000.000000,179353.125000,3801458.000000,148439.585938,687042.468750,218819334.781250,331092.078125,143215.132812,303881.640625,331219.140625
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L2__18,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,4,4,0,102400000.000000,179035.812500,3859504.125000,145759.101562,680710.156250,418545.656250,322918.312500,142196.937500,306904.375000,331621.546875
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L2__19,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,5,5,0,102400000.000000,177369.468750,3840440.625000,145212.140625,670351.281250,412771.640625,320591.453125,70690101.820312,156249626.656250,332462.843750
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L2__20,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,6,6,0,102400000.000000,175135.734375,3754041.500000,141501.476562,659166.937500,404703.343750,312299.625000,138167.382812,308542.796875,332313.500000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L2__21,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,7,7,0,102400000.000000,173402.289062,3673084.875000,68428608.960938,339153380.906250,396350.218750,307630.171875,68425092.398438,307445.375000,331790.015625
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L2__22,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,8,8,0,102400000.000000,171704.007812,3604714.250000,137387.898438,633467.156250,390783.437500,302199.468750,133721.632812,305117.781250,163432906.609375
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L2__23,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,9,9,0,102400000.000000,168756.046875,3445753.625000,135809.257812,621519.531250,380872.265625,298163.015625,132477.359375,303364.484375,330401.796875
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen__L2__24,Zähneputzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,10,10,0,102400000.000000,167808.000000,3446125.125000,134413.242188,323422716.843750,197331289.640625,297113.312500,66923310.878906,304019.453125,332760.453125
