vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__17,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,0,0,0,7699255.000000,42628.603515,495684.796875,42465.232422,143741.109375,157643.765625,163032.617188,55415.052735,186375.406250,220392.445312
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__18,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,1,1,0,78688118.000000,135399.234375,815046107.625000,120016.789063,506388.000000,290207.359375,236737.031250,119408.832031,228278.195312,248351.382812
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__19,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,2,2,0,90093768.000000,71403828.851562,864546749.250000,125124.152343,531826.265625,297631.687500,118281428.593750,122418.386719,242735.593750,259557.445312
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__20,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,3,3,0,91981580.000000,75834053.500000,883564184.000000,124943.917969,284149788.593750,296978.671875,234624.914062,122444.238281,249214.890625,266045.257812
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__21,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,4,4,0,97811664.000000,148930.468750,2123576.875000,61839680.789062,538050.640625,297283.359375,233338.460938,61703081.886719,253283.906250,133748842.609375
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__22,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,5,5,0,100438168.000000,148603.828125,938747304.625000,124370.707032,279276026.109375,294703.218750,231052.117188,121571.902343,252785.960938,136631074.250000
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__23,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,6,6,0,100942696.000000,147198.164062,2155555.875000,123527.226563,276338715.593750,292811.968750,229493.914062,121011.578125,256686.867188,274227.687500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__24,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,7,7,0,102400000.000000,147462.507812,2131600.375000,122070.285156,519574.656250,147605290.000000,224166.812500,59886473.035156,255822.515625,272461.656250
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__25,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,8,8,0,102400000.000000,145845.398438,2107680.000000,120555.941407,516857.703125,284633.484375,224370.796875,118204.210937,257646.914062,274207.515625
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__26,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,9,9,0,102400000.000000,74317807.234375,2124429.875000,61171518.968750,248268534.750000,140113766.375000,225329.304688,118203.871094,256803.007812,276558.687500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__27,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,10,10,0,102400000.000000,145565.476562,2112168.625000,119167.765625,509218.296875,282351.312500,221453.281250,116750.027343,256209.609375,273887.640625
