vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L2__16,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,0,0,0,18646744.500000,43860.107422,523601.734375,39687.539063,132338.964844,150655.429688,157196.585938,50261.117188,165739.757812,202019.132812
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L2__17,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,1,1,0,65077416.000000,119390.992188,1733134250.000000,105306.781250,441287.187500,284128.609375,235432750.000000,106334.121094,210738.437500,120613376.484375
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L2__18,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,2,2,0,85593072.000000,66922768.730469,1995283.250000,112984.820312,484866.359375,298616.281250,246927.554688,113526.300782,231124.132812,251580.539062
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L2__19,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,3,3,0,91124460.000000,136932.968750,2113230.875000,115860.640625,503664.937500,156676072.984375,122965413.445312,116593.773437,122168883.570312,261405.023438
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L2__20,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,4,4,0,95858264.000000,140418.210938,2223136.875000,118374.640625,246305961.218750,308114.390625,247291.570312,117920.769531,248493.554688,270163.437500
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L2__21,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,5,5,0,99141476.000000,142275.804688,2294915.750000,58534822.269531,520456.421875,309550.921875,248289.890625,117961.144531,253655.937500,274781.906250
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L2__22,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,6,6,0,102400000.000000,144151.226562,2347737.750000,119548.492187,521681.890625,310424.656250,246615.203125,118286.136719,257578.265625,277588.484375
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L2__23,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,7,7,0,102400000.000000,144539.539062,2352435.750000,119086.519531,521358.421875,310142.390625,248559.640625,118410.929687,259030.726562,282418.531250
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L2__24,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,8,8,0,102400000.000000,144854.742188,1036997102.625000,118714.699219,517579.500000,158420193.046875,245947.718750,117796.277343,131985585.132812,282760.375000
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen__L2__25,Zähneputzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,9,9,0,102400000.000000,143871.757812,1019979777.250000,117262.746093,516941.468750,307936.312500,245155.187500,117151.402343,262717.648438,284531.437500
