vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__31,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,0,0,0,174203.117188,61063.191407,69277039.250000,61285.871093,223237.414062,347759.671875,323487604.906250,2727422.250000,19276545.000000,2136966.625000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__32,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,1,1,0,325996.750000,113147.859375,228468.546875,125941.710938,279108.453125,415054.109375,434296756.093750,3530336.125000,26818461.000000,2555584.250000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__33,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,2,2,0,190936858.078125,125187.734375,249505.437500,66728154.507812,311377.359375,199113543.750000,873049.968750,3817278.250000,29313509.000000,2756838.500000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__34,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,3,3,0,362609.906250,127017.406250,254144.250000,152296.750000,330695.000000,454361.125000,443390952.281250,4215217.125000,33809113.000000,3146000.625000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__35,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,4,4,0,197588570.703125,133023.003907,259001.601562,157539.664062,351325.390625,467116.968750,954038.687500,4302617.000000,34767170.000000,3240996.250000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__36,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,5,5,0,403660.703125,132769.890625,257144.015625,158288.773438,358454.546875,214881350.843750,482791625.968750,4172055.625000,33438486.000000,3116368.875000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__37,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,6,6,0,389430.265625,129001.531250,248787.960938,157332.390625,363432.484375,463252.734375,476723410.500000,4089238.500000,34023034.000000,3159345.500000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__38,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,7,7,0,394343.750000,128708.714844,250364.046875,157166375.000000,368342.953125,472758500.000000,939316.968750,4192522.375000,34004045.000000,3086984.125000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__39,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,8,8,0,384260.375000,126549.132812,247227.171875,155778.875000,369450.500000,215156120.640625,487282971.781250,4338967.875000,36245816.000000,3232454.125000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__40,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,9,9,0,390479.875000,66709561.968750,244983.757812,154132.812500,372244.468750,214884725.515625,952007.625000,4372981.250000,37058134.000000,3428822.125000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__41,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,10,10,0,397632.953125,127660.089844,243881.164062,83540397.515625,372560.953125,258345961.484375,979314.875000,4481139.000000,37287042.000000,3377939.500000
