vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__0,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,0,0,0,4689965.000000,41977.052734,67406.500000,415116.171875,340036.718750,158431735.593750,53362.324219,88668357.726562,227355.992188,258822.976562
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__1,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,1,1,0,22793659.000000,141867.445312,171473.078125,733778909.000000,434913910.906250,331011837.656250,127252.496093,262001.773438,295446.968750,314380.906250
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__2,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,2,2,0,30699905.000000,163822.062500,204487.226562,938424332.500000,553560706.250000,784558.625000,142153.023438,299329.750000,327969.671875,344217.406250
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__3,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,3,3,0,35247812.000000,173826.179688,216046.664062,1989884.000000,1096628.906250,826831.406250,148593.117188,158137502.656250,347248.296875,366680.828125
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__4,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,4,4,0,40757000.000000,185361.289062,116103521.851562,2098297.875000,617577097.656250,460903665.375000,151104.257812,327151.843750,358447875.000000,377728.406250
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__5,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,5,5,0,41428732.000000,185620.507812,226901.632812,1047841971.000000,1130999.156250,459660355.031250,151479.820312,332587.765625,367586.140625,381560.656250
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__6,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,6,6,0,41805288.000000,186246.882812,227629.320312,1039085438.750000,620931603.125000,831306.906250,151947.484375,336556.718750,370665.875000,182860892.109375
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__7,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,7,7,0,42632792.000000,100165948.898438,230440.804688,1039897539.375000,628352337.343750,833116.375000,152465.843750,338792.625000,370222.625000,387508.968750
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__8,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,8,8,0,43361484.000000,187892.179688,228072.296875,1029718174.250000,508434952.750000,352954058.125000,150569.531250,339700.343750,372245.859375,383916.343750
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__9,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,9,9,0,43428636.000000,185778.226562,227585.656250,1018219345.625000,618676741.343750,802262625.000000,149796.085938,339074.343750,375339.968750,385500.656250
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__10,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,10,10,0,44678124.000000,187329.000000,228838.226562,2111252.750000,617561879.656250,458111740.156250,149551.828125,338990.796875,376132.031250,203080944.046875
