vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__20,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_412,0,0,0,175615.375,8616.552246,71341.820313,11609.90625,29732.924804,64116.980468,88820.480468,25845.724609,163035.867188,243751.71875
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__21,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_412,1,1,0,14106851,139868.367188,888068.4375,119457.070313,418100.234375,319224.609375,282954.53125,124481.960938,260021.023438,296989.375
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__22,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_412,2,2,0,17339736.5,156099.648438,912370.6875,128974.621094,444882.015625,335304.9375,303738.109375,138828.140625,268591.203125,274624.8125
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__23,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_412,3,3,0,16277938.5,152470.78125,780534.375,121595.746094,410096.375,281922.65625,264076.625,131038.457031,281772.859375,292352.515625
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__24,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_412,4,4,0,17836498,154701.875,785484.9375,122043.613281,408236.75,279382.078125,254292.0625,128085.640625,260083.195312,269889.796875
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__25,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_412,5,5,0,15232812,147887.828125,714228.46875,117711.265625,391812.265625,272256.375,249821.804688,126453.839844,271815.65625,278791.109375
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__26,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_412,6,6,0,16029078,146942.460938,708038.09375,116552.175782,388356.90625,265886.070312,242601.148438,124229.253906,272127.265625,280807.234375
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__27,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_412,7,7,0,16243774.5,146508.5625,705099.15625,114061.953125,380778.890625,259913.226562,237393.804688,123053.371093,272621.453125,281772.859375
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__28,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_412,8,8,0,16112541,143907.9375,680009.21875,111175.707031,359173.796875,235302.984375,207997.5625,112881.199219,241933.789062,248371.867188
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min__L2__29,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_HP_Exp_3_Deo_sprühen_(2)_10.0min,unsplit,heater_412,9,9,0,12842898.5,132371.652343,594517.6875,104315.515625,332426.890625,225332.289062,203869.601562,109349.515625,228671.40625,229650.453125
