vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__22,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_412,0,0,0,6936935.750000,70927.265625,790406.250000,68093.324219,226678.265625,303405.500000,341528.593750,96790.984375,336948.421875,419753.812500
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__23,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_412,1,1,0,48966684.000000,233218.437500,2437584.750000,178397.757812,697788.281250,594542375.000000,544279.937500,98040339.343750,220675.453125,304118.750000
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__24,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_412,2,2,0,29053125.000000,177597.648438,1248717250.000000,140726.757812,488476.656250,356834.828125,160685009.296875,148362.109375,147624295.703125,330083.562500
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__25,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_412,3,3,0,29189282.000000,188980.484375,589565568.250000,146406.804688,520637.046875,385118.031250,352552.328125,150877.609375,324658.765625,346735.500000
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__26,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_412,4,4,0,30733606.000000,192847.914062,1392432.750000,147704.203125,540598375.000000,211367897.078125,362000.953125,152976.031250,344314.968750,369747.296875
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__27,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_412,5,5,0,34777744.000000,198446.343750,644034444.125000,150965.976562,552240.375000,417745.906250,375969.421875,156891.242188,360742.031250,385021.593750
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__28,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_412,6,6,0,37524192.000000,194834.851562,1361685.250000,146559.015625,531710.406250,397407.796875,163454381.921875,150742.890625,180512289.328125,375642.921875
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__29,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_412,7,7,0,35240436.000000,193731.984375,610105477.750000,144525.835938,269586031.796875,383259.578125,336878.687500,146111.273438,295556.640625,314609.968750
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__30,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_412,8,8,0,24134642.000000,83544216.804688,869132.906250,122161.367188,413010.390625,132007800.406250,248608.921875,123084.949219,230129.578125,224688.976562
BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray__L2__31,Deospray,BME688_2026-08-20_14-16-10_ilkq8abh54hkxu22_HP_Exp_3_Deospray,unsplit,heater_412,9,9,0,13245500.500000,133826.687500,655069.187500,108593.410157,344936.578125,232233.929688,211234.601562,111314.734375,107095876.789062,234093.234375
