vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L2__31,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,heater_503,0,0,0,116569.011719,47997.078125,117019.019532,57218.246093,118015.406250,116140.109375,173557.953125,503165.000000,2511915.562500,416385.203125
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L2__32,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,heater_503,1,1,0,140429.164062,66441.421875,129486.140625,101016.027343,170526.820312,161225.953125,251758.968750,779824.406250,4737153.000000,625578.062500
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L2__33,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,heater_503,2,2,0,161926.718750,74468.886719,132695.683593,107967.835937,160400.000000,145023.429688,234404.195312,735766.250000,4462809.750000,603955.875000
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L2__34,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,heater_503,3,3,0,163374.273438,74773.316406,149867.484375,119049.109375,195981.515625,178901.867188,288359.171875,949343.531250,5878236.750000,761041.468750
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L2__35,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,heater_503,4,4,0,187145.593750,81715.695312,154885.429688,123286.117188,198469.843750,179835.500000,285685.328125,938832.687500,5870924.250000,762336.937500
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L2__36,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,heater_503,5,5,0,192362.296875,83072.753907,172190.898438,133042.367188,247606.484375,227769.656250,364744.171875,1255594.000000,8244773.250000,1002762.343750
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L2__37,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,heater_503,6,6,0,228118.500000,93092.996094,187360.429688,141692.152343,273942.445312,258792.296875,413032.703125,1349727.062500,8806939.250000,905095.500000
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L2__38,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,heater_503,7,7,0,183744.382812,80186.816406,113178.316407,96912.859375,112633.074218,68021.042969,85190.269532,224294.968750,1193379.125000,210545.062500
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L2__39,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,heater_503,8,8,0,75250.156250,39418.400390,74695.050781,73310.671875,103365.703125,72456.421875,95659.191406,252598.890625,1342772.937500,225154.101562
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L2__40,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,heater_503,9,9,0,81985.429688,43224.833985,100931.515625,92025.835937,161570.375000,134843.613282,201642.101562,596715.812500,3475911.000000,489145.968750
BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray__L2__41,Deospray,BME688_2026-08-22_12-43-43_fpd81j2s7c10t73u_Deospray,unsplit,heater_503,10,10,0,137146.863281,63564.376953,125786.945312,104855.480468,151148.500000,106794.164062,148945.343750,434212.031250,2381885.000000,362425.984375
