vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L2__27,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,heater_503,1,1,0,234263.976562,91801.378906,222228.476562,119443.082032,244565.585938,365287.375000,635063.125000,2242532.500000,14971372.000000,1466152375.000000
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L2__28,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,heater_503,2,2,0,265856.078125,100987.675782,238775.429688,135934.562500,267633.632812,373765.515625,637392.718750,2250956.250000,15377815.500000,1444364750.000000
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L2__29,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,heater_503,3,3,0,257553.828125,99134.515625,233803.750000,138747.113281,277160.289062,377314.015625,289293755.968750,2270387.750000,15122560.500000,694988183.250000
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L2__30,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,heater_503,4,4,0,251594.093750,42878236.828125,232540.054688,141252.332032,287844.343750,382568.703125,645723.781250,2311096.000000,15743010.000000,710172364.125000
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L2__31,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,heater_503,5,5,0,251390.429688,96598.617188,230673.101562,140701.488282,294634.359375,379766.703125,642043.937500,2292991.625000,15851843.500000,762888244.125000
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L2__32,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,heater_503,6,6,0,247193.851562,94512.980468,225893.992188,139576.730469,299405.625000,215066115.609375,640229.437500,2269562.000000,15490092.000000,692884909.000000
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L2__33,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,heater_503,7,7,0,242780.570312,92363.273438,219513.320312,138879.957031,298841.437500,374169.468750,285429706.656250,2226130.875000,15223463.000000,673091764.250000
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L2__34,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,heater_503,8,8,0,238133.570312,90438.105468,211046.601562,135225.636719,158113645.953125,208627184.796875,609981.625000,986680051.875000,14288683.000000,696993716.250000
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L2__35,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,heater_503,9,9,0,227321.062500,87473.105468,209672.890625,71390928.136719,160039117.359375,367750.937500,604278.250000,981711510.750000,14221603.500000,678994702.750000
BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur__L2__36,Rasur,BME688_2026-06-08_08-43-51_bmjwvwb4jh52qf5v_HP_Exp_3_Rasur,unsplit,heater_503,10,10,2,218557.187500,83039.390625,177460.429688,123063.445312,227218.773438,204900.421875,243253.632812,390344680.781250,4463276.750000,678994702.750000
