vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L2__0,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,heater_322,1,1,0,5061829.750000,74181.769532,95367.941406,304239295.968750,210469469.140625,330806.578125,33572373.656250,144507.070312,88385667.742188,188236.921875
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L2__1,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,heater_322,2,2,0,8390992.750000,98287.750000,125895.199218,977542.500000,538071.281250,417307.437500,91426.804687,185199.609375,210173.031250,116102761.992188
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L2__2,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,heater_322,3,3,0,10907245.500000,111522.109375,142949.375000,617035577.750000,311921273.093750,459868.546875,101972.675781,210624.460938,120612236.906250,249043.367188
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L2__3,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,heater_322,4,4,0,12451617.500000,118863.156250,150653.343750,1243665.625000,643289.062500,480896.750000,107000.925781,229063.734375,251826.570312,266290.906250
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L2__4,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,heater_322,5,5,0,14463849.000000,126764.679688,160821.046875,1348936250.000000,326267752.875000,272574494.640625,111567.683594,240529.828125,265561.335938,277286.937500
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L2__5,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,heater_322,6,6,0,15195194.500000,129079.253907,162926.562500,711531413.500000,696661.000000,504422.578125,112924.617188,248714.593750,274487.937500,286293.546875
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L2__6,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,heater_322,7,7,0,15545680.500000,130113.726562,165356.187500,1414618500.000000,701286.750000,514889.531250,114325.542969,254997.031250,279635.515625,290664.750000
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L2__7,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,heater_322,8,8,0,16491066.000000,132937.949218,168507.523438,715336924.125000,390357447.531250,522119.906250,58531522.328125,259928.007812,284985.234375,296471.437500
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L2__8,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,heater_322,9,9,0,16874930.000000,133379.941407,168921.812500,1471077375.000000,334924579.750000,522751.796875,116251.019531,264044.281250,145475894.531250,301585.562500
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L2__9,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,heater_322,10,10,0,17582757.500000,134166.238282,171294.921875,767652168.250000,403727673.093750,291642302.109375,116298.472657,267233.859375,293789.921875,304943.406250
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L2__10,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,heater_322,11,11,0,18127696.500000,136020.421875,171726.031250,758727421.750000,747309.281250,293142349.859375,116452.566407,133746353.468750,296086625.000000,308136.593750
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L2__11,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,heater_322,12,12,0,18433548.500000,135291.941407,171903.882812,1525285625.000000,339250163.656250,523282.906250,115591.847656,135014011.859375,147998220.203125,310364.484375
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L2__12,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,heater_322,13,13,0,18690429.000000,136425.171875,172599.312500,765092046.750000,403727335.031250,291887434.031250,115568.000000,266735625.000000,148769679.375000,303249.625000
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur__L2__13,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_HP_Exp_3_Bad_Rasur,unsplit,heater_322,14,14,1,17919874.500000,133715.980468,170050.421875,1489102250.000000,713792.750000,492757875.000000,112259.902344,250987.648438,136733329.289062,261094.640625
