vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L2__16,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,heater_413,0,0,4,23566415.000000,81354.058593,181216.789062,19325.806640,55219.839843,80936.984375,90077.507812,27489.449219,106212.003907,135190.273438
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L2__17,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,heater_413,1,1,0,23566415.000000,81354.058593,810354000.000000,73931.269532,274887.015625,88393446.601562,153227.101562,77035.531250,147518.742188,165692.757812
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L2__18,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,heater_413,2,2,0,37771448.000000,96294.617188,543802804.093750,83982.769532,318274.812500,193906.679688,161116.804688,86473.675781,165217.148438,179791.437500
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L2__19,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,heater_413,3,3,0,45834388.000000,101664.542969,580296447.500000,88000.000000,335833.359375,198430.539062,163195.640625,90127.015625,175364.867188,189612.976562
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L2__20,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,heater_413,4,4,0,50755078.000000,104236.523438,1054477.656250,89285.191406,340567.750000,198494.359375,160806.304688,90846.218750,179984.859375,196484.335938
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L2__21,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,heater_413,5,5,0,54246532.000000,105073.437500,1048600.781250,89251.652344,163442291.421875,195888.382812,158788.468750,90651.968750,182284.578125,198424.296875
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L2__22,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,heater_413,6,6,0,55578624.000000,104599.187500,1038319.625000,88428.539062,337496.046875,191364.265625,156604.445312,90370.054687,183564.601562,200129.492188
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L2__23,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,heater_413,7,7,0,56505774.000000,104086.019531,582273197.500000,87509.484375,160676545.406250,188161.609375,153572.390625,89324.667968,184362.140625,200943.523438
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L2__24,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,heater_413,8,8,0,56985166.000000,103394.656250,582262535.500000,86985.785156,158442320.500000,97541582.632812,154479.882812,89234.476562,183883.828125,201580.500000
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur__L2__25,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_HP_Exp_3_Bad_Rasur,unsplit,heater_413,9,9,0,59042918.000000,102975.246094,585268602.156250,86421.562500,331115.125000,187164.281250,154054.492188,88312.363281,183843.937500,102643057.250000
