vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__0,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,1,1,0,31399005.000000,170454.132812,209444.945312,1924815.625000,1105967.500000,854901.187500,150239.960938,301184.906250,334425.828125,352216.390625
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__1,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,2,2,0,37505068.000000,98039805.500000,226950.984375,2123748.000000,531330687.625000,856496.937500,155921.562500,325018.625000,356261.203125,193644173.218750
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__2,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,3,3,0,39944194.000000,185371.851562,228315.304688,1036755403.250000,1121062.468750,812327.656250,153516.351562,331971.312500,363524.484375,374854.484375
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__3,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,4,4,0,37687812.000000,183798.718750,227074.914062,1034375317.750000,487410572.375000,790243.937500,152008.789062,334830.500000,369139.718750,383080.140625
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__4,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,5,5,0,38146548.000000,183458.492188,226621.976562,2077861.750000,600182141.125000,774908.125000,149761.718750,336906.156250,371221.625000,388730.546875
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__5,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,6,6,0,37993712.000000,181854.687500,223931.046875,1007695329.625000,589326183.250000,770747.562500,146839.742188,336495.250000,371314.593750,387991500.000000
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__6,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,7,7,0,38068506.000000,96486108.617188,222167.914062,2033755125.000000,1046112000.000000,747729.437500,144348.351562,334164.500000,194855271.890625,383720.218750
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__7,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,8,8,0,37597222.000000,173349.585938,217165.953125,2003250750.000000,1029125.625000,418273973.843750,141915.062500,333921.093750,370884.671875,381687.640625
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__8,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,9,9,0,37254499.000000,171128.023438,214193.632812,1957165750.000000,441464056.250000,711666.437500,139425.476562,329700.671875,192764258.843750,378764.781250
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__9,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,10,10,0,36816358.000000,167629.671875,212076.281250,1927332125.000000,550823861.750000,704100.312500,137579.644531,331262.453125,174995304.265625,199056028.640625
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__10,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,11,11,0,36893516.000000,167286.648438,210279.804688,1015783544.750000,996668.718750,704911.437500,136583.597657,331562.468750,195409447.078125,383695.937500
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__11,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,12,12,0,36881770.000000,165897.265625,209431.625000,1003856904.125000,982027.375000,397119296.250000,134877.644532,322893.296875,361023.421875,372989.109375
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__12,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,13,13,0,35504668.000000,162413.171875,205013.812500,881654245.875000,414187423.750000,386990594.000000,132499.996093,322710000.000000,359806.000000,373774.968750
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__13,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,14,14,0,35353680.000000,161722.875000,96949170.093750,971039832.750000,949878.125000,382875701.218750,131308.023438,322445.671875,359878.765625,372406.125000
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__14,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,15,15,0,35102051.000000,159789.093750,96184773.632812,883912248.875000,412435749.750000,668888.625000,130727.523438,324931.671875,363293.984375,377915.750000
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__15,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,16,16,0,36648600.000000,162947.085938,205350.453125,897268479.500000,973343250.000000,687418.406250,131372.285157,158437358.546875,366138.468750,380415.125000
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__16,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,17,17,0,36372427.000000,161611.046875,202934.296875,1856755.250000,542947720.406250,388544979.781250,131066.152343,158435875.875000,367501.343750,198707673.218750
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__17,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,18,18,0,37147562.000000,163479.523438,205418.570312,1885209.000000,547737053.343750,690530.093750,61711264.671875,324904.000000,363821.531250,372590.000000
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__18,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,19,19,0,35377242.000000,158672.039062,197541.335938,1813280.250000,397346499.843750,638819.781250,126315.277343,309706.390625,344428.421875,361286.171875
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__19,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,20,20,0,33164734.000000,153580.734375,102756919.921875,1750918.750000,895870625.000000,362489289.968750,124466.265625,312533.968750,350451.250000,364272.562500
BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray__L2__20,Raumspray,BME688_2026-07-19_15-47-04_j3dbznv72xblkbrj_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,21,21,0,34158612.000000,155207.835938,194286.890625,839414407.125000,908056.625000,639584.312500,58541203.203125,315698.156250,351554.640625,367690.359375
