vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__0,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,0,0,0,141850.242188,5848.246826,9398.277343,35849.994140,53623.818360,64436.736328,11059.798828,57083.230468,103490.046875,71399276.429688
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__1,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,1,1,0,8915719.500000,83025.859375,105739.234375,779739.500000,258401252.593750,444293.296875,81909.175782,169774.882812,207647.054688,233897.195312
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__2,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,2,2,0,19611654.000000,127559.468750,156103.960938,1326869625.000000,815378.000000,643477.750000,115911.171875,240573.507812,269136.312500,290666.640625
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__3,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,3,3,0,27858554.000000,149541.812500,184540.398438,826652194.250000,978827.906250,744683.687500,64502483.671875,277560.953125,309677.031250,323808.828125
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__4,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,4,4,0,32813731.000000,84454755.976562,104016740.289062,927608655.750000,576908163.468750,807606.625000,141123.625000,303772.953125,333958.546875,347222.421875
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__5,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,5,5,0,39706516.000000,175670.382812,216599.570312,1031180330.625000,619819864.750000,854942.562500,71109388.945312,320482.109375,349321.328125,366889.906250
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__6,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,6,6,0,42357708.000000,182537.406250,224637.226562,2105034.625000,531338756.875000,849454.875000,149059.992188,329138.515625,365539.500000,182857231.000000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__7,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,7,7,0,43322936.000000,185661.687500,228045.359375,2106589.250000,630092880.531250,823844375.000000,150211.789062,334515.718750,368488.171875,198708445.265625
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__8,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,8,8,0,41660262.000000,182524.851562,107839111.601562,2083551.125000,1142989.406250,825571.187500,148983.453125,337689.843750,373475.984375,390048.468750
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__9,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,9,9,0,41059504.000000,180654.812500,222457.960938,1001798494.250000,1097239875.000000,447012449.906250,146280.554688,166786705.703125,379296.234375,192794776.468750
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__10,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,10,10,0,44312166.000000,184589.054688,228987.703125,2123441.000000,510716180.125000,810960.250000,148063.585938,346383.296875,383413.250000,401737.046875
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__11,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,11,11,0,44290064.000000,184071.468750,226718.015625,2122123.375000,1149952.093750,350429790.750000,78261796.093750,347088.406250,390092.765625,403145875.000000
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__12,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,12,12,0,44466944.000000,185460.726562,229159.335938,2108995.500000,508441881.875000,812283.781250,148535.296875,348485.984375,393335.062500,403523.968750
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__13,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,13,13,0,45859300.000000,99987065.601562,108249758.570312,1017476194.750000,510726787.750000,466232387.750000,149055.937500,352492.562500,397123.734375,410425.781250
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__14,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,14,14,0,47623826.000000,188385.984375,120608175.820312,1036775410.625000,1160800.218750,822504125.000000,148825.601562,350199.218750,204172818.265625,406467.578125
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray__L2__15,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_HP_Exp_3_Bad_Raumspray,unsplit,heater_322,15,15,0,46939816.000000,186488.148438,229427.679688,1022050533.500000,639517042.000000,824072.062500,148768.257812,182247593.015625,397604.046875,214692794.593750
