vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L2__19,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,heater_413,1,1,0,26626878.000000,81147.093750,1029043.187500,74977.441407,292918.250000,212033.687500,186556.343750,79511.457032,153851.820312,181000.085938
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L2__20,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,heater_413,2,2,0,59371332.000000,112864.691406,1543012.250000,99420.652343,406661.953125,260493.664062,217749.257812,100996.867187,195079.820312,216631.687500
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L2__21,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,heater_413,3,3,0,85138892.000000,130312.445312,1882718.250000,111235.632812,473117.781250,287130.890625,235364.398438,111164.070312,218570.968750,237264.335938
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L2__22,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,heater_413,4,4,0,92560680.000000,139177.507812,2076237.250000,117724.886718,504348.234375,300513.625000,241953.835938,116155.894531,230970.898438,250460.257812
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L2__23,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,heater_413,5,5,0,99512568.000000,142304.843750,2149511.250000,120498.937500,521099.125000,301048.406250,239851.007812,117802.113281,240837.554688,257837.414062
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L2__24,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,heater_413,6,6,0,100217204.000000,146906.281250,2254230.375000,122533.921875,533351.421875,305932.406250,240618.687500,118503.941406,246392.812500,264949.609375
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L2__25,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,heater_413,7,7,0,102400000.000000,148491.992188,2345748.875000,123971.648437,532934.593750,306049.125000,243858.000000,120414.882812,254568.945312,274321.546875
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L2__26,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,heater_413,8,8,0,102400000.000000,153205.203125,2469858.125000,125795.527344,549895.687500,314676.640625,249563.914062,122406.488281,260298.648438,279369.515625
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L2__27,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,heater_413,9,9,0,102400000.000000,154431.335938,2515652.500000,126958.332031,554998.250000,318331.406250,249548.710938,122500.406250,262698.968750,279934.578125
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L2__28,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,heater_413,10,10,0,102400000.000000,153437.296875,2520810.500000,125284.984375,549472.562500,313358.390625,246043.742188,121443.660157,261291.296875,280165.843750
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L2__29,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,heater_413,11,11,0,102400000.000000,153929.328125,2517020.625000,125650.984375,552217.937500,315400.609375,248204.437500,121879.718750,266493.218750,283895.578125
BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray__L2__30,Raumspray,BME688_2026-08-22_11-59-05_p6t91vjghspbpyh2_Raumspray,unsplit,heater_413,12,12,0,102400000.000000,155898.031250,2556145.750000,126388.824219,552638.968750,314644.546875,245343.554688,122403.277344,265974.671875,283694.921875
