vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__16,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,0,0,0,12197342.000000,35119.978515,494483.203125,33533.189453,108082.632812,146077.460938,161642.000000,43703.855469,73430772.875000,104014581.453125
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__17,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,1,1,0,84416422.000000,127218.683593,2939943.500000,113347.406250,266005409.781250,180539310.718750,324092.703125,115733.777343,223644.359375,256046.835938
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__18,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,2,2,0,98621128.000000,150188.789062,3469149.625000,130139.589843,312763654.218750,419106.875000,349091.609375,128739.468750,254928.343750,282560.171875
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__19,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,3,3,0,102400000.000000,161753.031250,3981530.250000,136482.773438,303926497.656250,438226.656250,359261.718750,134206.937500,270903.046875,298788.703125
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__20,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,4,4,0,102400000.000000,169050.984375,3984042.000000,139394.460938,653833.187500,449176.328125,366945.375000,136829.539062,286331.625000,316734.390625
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__21,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,5,5,0,102400000.000000,174406.789062,4416218.250000,142813.554688,673680.500000,452213.234375,367568.218750,137830.523438,292044.531250,323642.843750
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__22,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,6,6,0,102400000.000000,174697.992188,4525577.875000,142879.273438,678818.406250,221404452.031250,371177.156250,139522.960938,149293843.343750,331309.656250
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__23,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,7,7,0,102400000.000000,177519.554688,4749819.500000,143565.257812,677921.906250,455373.984375,367179.328125,138446.546875,303220.203125,335382.093750
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__24,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,8,8,0,102400000.000000,176869.054688,4643680.375000,141914.500000,673537.000000,451829.015625,362243.531250,137694.312500,307471.296875,166783389.093750
BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen__L2__25,Zähneputzen,BME688_2026-07-14_21-10-19_niblod8ydxdjhpyp_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_413,9,9,0,102400000.000000,85225628.882812,4572969.625000,140150.296875,660664.468750,444559.218750,354913.640625,136744.054688,308551.875000,340753.593750
