vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__0,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_322,0,0,0,3308573.875000,49838.822265,81013.312500,498292.640625,374739.937500,337640.281250,61669.250000,102646788.304688,250838.921875,136746384.656250
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__1,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_322,1,1,0,18549296.000000,150192.843750,182892.625000,1626044375.000000,835005.875000,615566.468750,132364.589844,134486540.640625,148001706.031250,315790.390625
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__2,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_322,2,2,0,23957150.000000,85213239.203125,205313.132812,913364530.750000,424150765.656250,295795395.343750,139215.335938,296415.640625,321324.890625,334331.875000
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__3,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_322,3,3,0,26717778.000000,168225.039062,209640.406250,950187556.625000,925048.281250,653760.281250,140361.148438,305773.171875,333067.468750,344171.750000
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__4,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_322,4,4,0,28026682.000000,169487.429688,212619.804688,1901827125.000000,509377198.250000,659588.875000,140812.382812,160653898.109375,339666.078125,349839.875000
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__5,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_322,5,5,0,28872271.000000,168566.101562,212549.570312,969719658.875000,430037620.593750,660239.906250,138634.390625,315717.796875,345733.046875,182833944.234375
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__6,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_322,6,6,0,29465379.000000,167881.289062,212083.015625,1888125.125000,508237140.281250,656644.125000,138545.296875,318313.375000,347046.812500,184411968.921875
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__7,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_322,7,7,0,29283597.000000,164862.859375,207513.242188,1870902125.000000,926718.312500,645357.750000,136425.171875,316334.250000,345352.546875,360014.078125
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__8,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_322,8,8,0,30715007.000000,165450.625000,208221.015625,949500375.375000,921675.250000,644421.187500,134803.199219,317496.234375,346427.500000,362179.140625
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen__L2__9,Zähneputzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_HP_Exp_3_Bad_Zähneputzen,unsplit,heater_322,9,9,0,30893115.000000,164265.765625,206549.750000,1847578.250000,934739.406250,359082651.500000,133927.218750,162179020.093750,344061.171875,362135.281250
