vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__0,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,0,0,0,1195690.375000,21664.558594,32281.768555,160727.992188,184553.343750,210787.617188,32566.544922,114491.382812,171473.078125,219884.132812
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__1,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,1,1,0,19163141.000000,130370.871093,78270219.851562,1333407750.000000,857963.562500,689210.375000,121811.164063,241684.796875,280509.937500,306038.031250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__2,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,2,2,0,32706962.000000,166669.242188,204431.578125,1874687375.000000,1124901.625000,868097.406250,146838.562500,298283.421875,166613359.140625,350369.656250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__3,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,3,3,0,41133302.000000,186926.171875,226015.992188,2159011.625000,661235049.250000,955852.062500,157384.015625,326854.062500,182838968.703125,384324.906250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__4,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,4,4,0,48019906.000000,193347.304688,234842.976562,2259209.125000,696270918.625000,452834627.625000,160908.148438,344359.828125,383277.140625,403738.406250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__5,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,5,5,0,55801590.000000,202577.085938,240900.546875,2336328.875000,1348455000.000000,1009760.218750,162807.781250,354221.625000,395665.609375,211379375.671875
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__6,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,6,6,0,53075544.000000,199773.375000,243018.734375,2337345.250000,725820152.625000,1003141750.000000,163710.882812,359665.890625,403727125.000000,216194389.671875
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__7,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,7,7,0,58757810.000000,206626.250000,246573.414062,2391861.375000,736001725.875000,1015835.000000,162983.984375,367100.203125,407973.671875,207420787.781250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__8,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,8,8,0,58856360.000000,206105.101562,246121.531250,2381737.750000,739181631.875000,562630288.843750,162762.945312,366600.625000,413719.843750,428567.531250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__9,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,9,9,0,58277944.000000,95809274.359375,244559.195312,2350299.500000,1404521750.000000,467098122.125000,163681.734375,371342.281250,214698200.984375,211399447.656250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen___L2__10,Zähneputzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_322,10,10,0,60527666.000000,202052.218750,244310.117188,2359133.875000,768391381.875000,584264359.125000,163038.007812,192770731.234375,420475.375000,434922375.000000
