vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__32,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,1,1,0,264833.570312,97677.882812,210234.539062,115715.886719,136725174.250000,374084.156250,712745.625000,2760404.750000,20127934.000000,2024439.750000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__33,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,2,2,0,307296.328125,111450.015625,229968.773438,73731062.984375,287426.171875,384689.015625,716041.156250,2826619.500000,20380708.000000,2023620.125000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__34,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,3,3,0,303701.250000,111179.175781,230737.437500,142407.027344,305545.125000,386054.843750,716348.093750,2842267.875000,21707786.000000,1031333891.125000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__35,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,4,4,0,311110.656250,52724525.417969,230401.609375,146636.554688,314475.796875,375974.484375,690467.875000,2697872.500000,19661565.000000,1028760832.750000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__36,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,5,5,0,292441.312500,108385.632812,98475015.140625,146118.531250,319337.828125,366699.687500,321639516.156250,2562489.125000,18793806.000000,872668263.875000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__37,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,6,6,0,282779.593750,105867.542968,220235.710938,146267.867188,174951792.796875,371861.000000,662450.093750,2640481.750000,19972946.000000,1892792750.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__38,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,7,7,0,145468284.921875,49315950.250000,214356.492188,144921.968750,322915.703125,198690297.703125,329045566.906250,2473678.125000,18375159.000000,1783044750.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__39,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,8,8,0,272245.218750,102767.468750,210636.054688,144002.878907,324017.250000,193624018.171875,620419000.000000,2366272.625000,17158721.000000,1702454125.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__40,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,9,9,0,135651584.929688,100385.257812,207171.710938,142734.339843,322970.937500,343905.718750,606984.500000,2307495.875000,16861648.000000,1712473.500000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__41,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,10,10,0,263274.148438,99116.730469,205646.359375,142026.914062,325485.453125,350916.750000,311923604.781250,2330550.125000,17013845.000000,1712083625.000000
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen___L2__42,Zähneputzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_HP_Exp_3_Bad_Zähne_putzen_,unsplit,heater_503,11,11,0,260000.859375,98611.562500,205433.562500,141208.066406,326388.984375,158460985.515625,302293233.468750,2376854.500000,17377328.500000,1778494500.000000
