vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__0,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,1,1,0,23492279.000000,161871.781250,198240.906250,1807537.875000,928272.281250,653920.875000,132480.546875,289615.640625,318494.140625,234004.640625
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__1,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,2,2,0,11465104.250000,103062.574218,112593.707031,758358.437500,287560.781250,230450.960938,83768.054687,119010.449218,77590.535157,61099.382812
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__2,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,3,3,0,1473302.000000,48563.119141,57855.863282,292670.882812,106608.503906,91955.351563,50617.855469,81035.996094,85959.101562,93330.554688
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__3,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,4,4,0,2982067.500000,74827.753906,95000.210938,590588.187500,213387.796875,163457.773438,69571.585938,121163.917968,121122.269531,121479.664062
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__4,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,5,5,0,4465126.000000,83675.937500,104205.945313,676046.750000,255009.593750,194994.460938,76759.816407,146987.367188,147805.312500,146958.609375
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__5,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,6,6,0,5973649.000000,93528.664062,114861.449219,776629.218750,290108.382812,209491.062500,78213.105468,144703.359375,147547.179688,147166.648438
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__6,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,7,7,0,6157084.000000,93091.179687,114471.058593,778558.031250,289951.093750,207801.031250,77498.531250,145730.210938,147249.531250,147046.039062
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__7,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,8,8,0,6175206.000000,92306.351562,114413.980469,780191.593750,288613.921875,206933.507812,77251.019532,146004.601562,147893.781250,148378.843750
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__8,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,9,9,0,6297512.250000,92723.761718,114497.976562,779839.406250,290814.195312,205508.523438,75586.117187,145933.648438,148272.820312,147596.539062
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__9,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,10,10,0,6139506.750000,90364.207031,111443.214843,747982.375000,277603.703125,201490.398438,75037.039062,146672.273438,148094.906250,148160.257812
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__10,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,11,11,0,6275286.750000,90267.156250,111791.242188,753957.250000,276831.789062,195265.148438,72767.496093,136954.644531,138216.347656,138216.347656
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__11,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,12,12,0,5604319.000000,86054.078125,107297.074219,716455.531250,264332.265625,192207.593750,72774.847656,141533.328125,143614.695312,143652.210938
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__12,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,13,13,0,6018379.000000,87479.906250,109643.328125,738301.937500,275672.843750,197821.953125,73504.656250,143643.953125,144592.164062,145008.960938
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__13,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,14,14,0,6086847.000000,88389.144532,110058.074219,746844.125000,277862.250000,199928.039062,73698.867187,146559.015625,147840.632812,147345.781250
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__14,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,15,15,0,6261511.250000,88561.562500,110585.253906,749093.468750,281385.734375,198235.289062,72745.574218,141104.781250,142062.515625,140950.558593
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__15,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,16,16,0,5736265.000000,84547.781250,106020.394532,710499.812500,263162.164062,188078.664062,70570.195312,135598.371094,135768.238281,134145.285156
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__16,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,17,17,0,5302210.000000,82034.722656,103096.867187,683592.937500,252397.414062,182060.109375,69127.175781,131066.070312,129305.210938,127625.425781
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__17,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,18,18,0,4846868.000000,78439.300781,98625.238281,640024.843750,235239.210938,173178.148438,67240.638672,134356.062500,136002.417969,133208.226562
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__18,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,19,19,0,5580941.500000,79608.675782,99445.757813,647531.031250,235024.890625,171464.414062,66997.775390,130034.218750,131427.992188,133095.324219
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__19,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,20,20,0,5081812.000000,79983.304688,100123.859375,655973.375000,239684.460938,174284.148438,67270.013672,132106.378906,134649.082031,134461.308594
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__20,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,21,21,0,5229553.000000,80594.636719,102108.183593,672031.500000,250173.632812,178768.851562,68202.234375,131511.179688,132824.675782,132501.171875
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__21,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,22,22,0,5108132.500000,79719.132813,100360.312500,659812.062500,245449.289062,176674.789062,67086.652343,129047.277344,128099.773438,127762.023438
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__22,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,23,23,0,4812472.875000,78438.296875,99237.363282,653115.906250,242154.031250,173467.601562,66340.373047,99154.195312,79655.300781,85118.156250
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__23,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,24,24,0,2491324.375000,61261.671875,76630.285157,458460.828125,164124.894531,129796.820312,59041.042968,127103.085938,130988.316407,132792.828125
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__24,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,25,25,0,4962075.625000,79557.296875,100343.542968,658169.125000,242628.843750,174639.351562,67375.179688,132598.578125,133496.027344,134142.500000
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__25,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,26,26,0,5091909.500000,79688.085938,100365.199218,661590.000000,242620.945312,174878.820312,66958.689453,131029.851562,131398.375000,131436.027344
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__26,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,27,27,0,4866651.000000,78901.882812,100132.597657,659289.718750,245612.015625,175224.226562,66747.074218,127726.925781,127232.859375,125930.347657
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__27,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,28,28,0,4634983.875000,77415.593750,98042.851563,639758.843750,235177.867188,170503.265625,66094.119140,128033.019532,129961.726562,129931.511718
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__28,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,29,29,0,4845515.500000,78270.851562,98838.273438,645047.375000,235737.984375,171197.085938,66039.185547,128857.152344,130403.703125,130924.101562
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__29,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,30,30,0,5018095.625000,79219.050781,100530.707032,662385.781250,244397.453125,175376.562500,67116.861329,132208.496093,133644.304688,133893.652343
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__30,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,31,31,0,5130167.750000,79720.925781,100850.597656,664700.562500,247541.890625,177509.929688,67631.984375,133401.050782,135057.773438,134966.488281
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__31,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_322,32,32,0,5151886.500000,79020.738281,99252.996093,650494.031250,243159.968750,176097.585938,67184.357422,134058.785156,135549.359375,135071.867188
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__32,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,1,1,0,34347455.000000,212116.679688,1424199.437500,137883.718750,445860.468750,160306.015625,148930.140625,99553.871094,234937.578125,273989.250000
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__33,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,2,2,0,12199165.000000,100949.777344,246258.132812,69569.546875,180594.375000,102171.679688,100682.496093,72096.757813,157616.359375,179871.882812
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__34,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,3,3,0,7339815.250000,115855.125000,434155.500000,95044.167969,287271.406250,182060.250000,165229.390625,100194.699219,194109.140625,204288.656250
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__35,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,4,4,0,9231082.000000,128229.644531,531795.921875,102911.437500,323137.562500,209659.125000,188043.710938,108278.550782,225379.765625,229931.429688
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__36,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,5,5,0,10990466.000000,132276.082032,544884.453125,103953.234375,327538.250000,215038.648438,192955.625000,108830.660156,224292.710938,229558.703125
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__37,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,6,6,0,11068630.500000,130640.257812,545564.640625,102656.550781,326268.906250,213332.054688,191498.312500,107713.843750,224953.914062,233712.437500
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__38,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,7,7,0,11440727.000000,129963.542968,544215.343750,101781.777344,316260.953125,209292.476562,185169.734375,105321.261719,220094.398438,230334.250000
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__39,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,8,8,0,11046649.500000,129264.679688,546045.125000,100350.957031,314118.171875,205109.445312,182443.789062,103518.960938,213862.375000,219776.179688
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__40,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,9,9,0,10054831.000000,123611.789062,508740.843750,95969.195312,302181.937500,199683.750000,183794.992188,103584.234375,221216.875000,228175.828125
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__41,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,10,10,0,10769367.500000,126475.156250,526484.406250,98602.328125,307899.234375,206328.132812,186244.289062,104094.519531,221063.601562,232777.937500
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__42,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,11,11,0,11216182.500000,127443.968750,539370.781250,98222.089843,310051.078125,205179.320312,183426.781250,102833.367188,218650.656250,221757.609375
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__43,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,12,12,0,10197963.000000,121624.179688,495675.156250,93985.589843,292789.562500,191441.609375,171559.398438,97842.421875,209750.656250,214283.812500
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__44,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,13,13,0,9576806.500000,117948.121093,462752.640625,89969.691406,275600.625000,175380.671875,160875.117188,93760.410156,195015.289062,202289.453125
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__45,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,14,14,0,8675144.500000,114856.312500,457321.250000,90232.093750,277194.640625,183122.476562,165374.406250,95106.003906,205199.679688,210264.367188
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__46,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,15,15,0,9242338.000000,115907.941407,458323.609375,89860.894531,275886.796875,184063.023438,167853.773438,96327.289062,208037.078125,212963.960938
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__47,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,16,16,0,9491181.000000,117900.121093,470381.671875,90824.234375,280247.421875,183838.914062,165686.960938,96363.292969,204803.273438,207603.648438
BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray__L2__48,Deospray,BME688_2026-06-08_12-09-49_gtxhsq429d6t7qkt_Deospray,unsplit,heater_412,17,17,0,9088376.500000,115587.164063,449085.359375,88249.406250,273235.359375,180180.531250,162723.578125,94596.710938,180145.921875,163417.539062
