vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__0,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,0,0,0,326002.281250,11230.150391,19050.439453,76746.324218,102771.363281,119379.562500,21378.184571,97349.261718,152132.960938,191840.109375
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__1,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,1,1,0,9791404.500000,108677.140625,129284.511719,976080.937500,471885.156250,374186.281250,98906.273438,193225.906250,220428.820312,249032.507812
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__2,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,2,2,0,13970283.500000,126015.878907,148772.875000,1170479.812500,521021.453125,398908.031250,109247.089843,213824.101562,226842.937500,235956.093750
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__3,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,3,3,0,13535500.000000,132039.832031,161494.828125,1321321.250000,588792.437500,422857.296875,112924.617188,218154.875000,211489.742188,207243.585938
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__4,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,4,4,0,10222956.000000,117984.812500,144653.437500,1123460.187500,448585.265625,321877.562500,99558.511718,191624.429688,202763.585938,208709.335938
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__5,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,5,5,0,11297955.000000,119272.011719,147347.023438,1157425.375000,465038.578125,330420.562500,101566.136719,194712.062500,202585.101562,204262.359375
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__6,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,6,6,0,10648580.000000,115089.050781,140196.335938,1064233.656250,416256.953125,292581.546875,95163.988281,185312.757812,194230.125000,199244.890625
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__7,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,7,7,0,10310081.000000,114560.031250,142125.921875,1077700.843750,430308.296875,305516.585938,96724.320312,190282.664062,193380.289062,195226.695312
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__8,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,8,8,0,9614153.250000,111730.363282,137737.500000,1041452.781250,415401.343750,293549.953125,93498.914062,192293.484375,196775.914062,201236.078125
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__9,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,9,9,0,9954185.000000,110134.894531,135716.906250,1020978.625000,407618.093750,290577.351562,91900.304687,190223.453125,197194.164062,196453.554688
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__10,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,10,10,0,10130967.250000,110084.957032,136433.945312,1017084.937500,403960.296875,287111.710938,91297.632812,188482.335938,195074.226562,194949.203125
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__11,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,11,11,0,9748984.500000,105341.617187,128322.773438,926210.031250,350555.609375,246498.640625,83176.777344,164602.625000,168845.796875,168207.078125
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__12,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,12,12,0,7889759.250000,98226.777344,122491.171875,874310.531250,342403.875000,242465.593750,82134.324219,163211.015625,166466.921875,160664.851562
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__13,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,13,13,0,7101229.250000,90691.527344,112050.480468,764008.093750,291912.882812,211367.328125,76750.695313,148561.351562,148726.757812,148403.218750
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__14,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,14,14,0,6455007.750000,90714.796875,114738.304688,795935.625000,307478.601562,222260.671875,78115.695312,155710.554688,156929.710938,161788.617188
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__15,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,15,15,0,7384440.000000,94633.261718,119368.781250,849629.937500,328428.453125,230988.132812,79635.492188,161704.593750,166475.828125,167534.835938
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__16,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,16,16,0,7765276.250000,96025.171875,121045.335937,870580.468750,340754.828125,242386.765625,80450.289063,166805.703125,170498.921875,171474.492188
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__17,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,17,17,0,7985066.000000,96492.191407,120842.074218,863959.718750,338867.578125,239290.195312,80155.496094,163883.500000,160603.687500,124924.000000
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__18,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,18,18,0,4582864.000000,75372.468750,94666.179688,616861.343750,202448.617188,130443.046875,58138.269532,116936.386718,126968.863281,132769.890625
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__19,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,19,19,0,5121752.125000,80994.242188,103573.144531,695472.875000,262168.750000,188030.742188,70566.988282,140719.531250,145556.531250,145392.000000
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__20,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,20,20,0,5689582.625000,81654.363281,102381.628906,681422.031250,258573.796875,189341.015625,71308.484375,147613.148438,155082.289062,160381.187500
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__21,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,21,21,0,6861602.000000,91405.441406,115682.445312,821056.843750,321205.921875,225840.304688,77673.187500,162334.914062,166313.101562,167400.023438
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__22,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,22,22,0,7480471.250000,93377.367188,117868.917968,834925.812500,324428.460938,225383.960938,77274.562500,159447.898438,163949.007812,164893.062500
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__23,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,23,23,0,7452743.500000,92218.636719,116368.703125,830847.468750,323237.281250,226759.585938,76942.785156,158963.140625,161821.992188,163096.695312
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__24,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,24,24,0,7078953.250000,91515.718750,114458.371093,814207.656250,315617.734375,220600.882812,75763.769531,155204.687500,158213.312500,158552.445312
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__25,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,25,25,0,6915831.000000,90291.980468,113631.570312,794854.218750,311269.812500,218869.078125,75250.277344,155788.507812,159790.054688,161067.515625
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__26,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,26,26,0,7106623.500000,90820.941407,114954.035156,807878.593750,316164.023438,221465.437500,75574.933594,156457.125000,160277.578125,161172.562500
BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray__L2__27,Deospray,BME688_2026-06-08_15-21-04_nzz7v8xkp0bd5qmp_Deospray,unsplit,heater_322,27,27,0,7033311.000000,91083.339844,114271.046875,808315.843750,317336.085938,222003.664062,75673.390625,157844.781250,161743.453125,161435.437500
