vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__0,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_322,1,1,0,5061829.750000,74181.769532,95367.941406,685591.031250,412798.578125,330806.578125,71720.343750,144507.070312,167661.554688,188236.921875
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__1,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_322,2,2,0,8390992.750000,98287.750000,125895.199218,977542.500000,538071.281250,417307.437500,91426.804687,185199.609375,210173.031250,224194.054688
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__2,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_322,3,3,0,10907245.500000,111522.109375,142949.375000,1156011.312500,607835.656250,459868.546875,101972.675781,210624.460938,233798.343750,249043.367188
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__3,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_322,4,4,0,12451617.500000,118863.156250,150653.343750,1243665.625000,643289.062500,480896.750000,107000.925781,229063.734375,251826.570312,266290.906250
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__4,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_322,5,5,0,14463849.000000,126764.679688,160821.046875,1348936.250000,686597.437500,506397.578125,111567.683594,240529.828125,265561.335938,277286.937500
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__5,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_322,6,6,0,15195194.500000,129079.253907,162926.562500,1377965.312500,696661.000000,504422.578125,112924.617188,248714.593750,274487.937500,286293.546875
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__6,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_322,7,7,0,15545680.500000,130113.726562,165356.187500,1414618.500000,701286.750000,514889.531250,114325.542969,254997.031250,279635.515625,290664.750000
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__7,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_322,8,8,0,16491066.000000,132937.949218,168507.523438,1466696.437500,726530.968750,522119.906250,115809.015625,259928.007812,284985.234375,296471.437500
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__8,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_322,9,9,0,16874930.000000,133379.941407,168921.812500,1471077.375000,727923.437500,522751.796875,116251.019531,264044.281250,290537.718750,301585.562500
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__9,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_322,10,10,0,17582757.500000,134166.238282,171294.921875,1521503.312500,743248.406250,527895.421875,116298.472657,267233.859375,293789.921875,304943.406250
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__10,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_322,11,11,0,18127696.500000,136020.421875,171726.031250,1528316.312500,747309.281250,529068.546875,116452.566407,268277.656250,296086.625000,308136.593750
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__11,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_322,12,12,0,18433548.500000,135291.941407,171903.882812,1525285.625000,740574.593750,523282.906250,115591.847656,270078.171875,297381.390625,310364.484375
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__12,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_322,13,13,0,18690429.000000,136425.171875,172599.312500,1534680.937500,742910.343750,524276.343750,115568.000000,266735.625000,297113.062500,303249.625000
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__13,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_412,1,1,0,4780253.000000,78266.753907,493758.187500,70156.253907,230132.914062,245604.289062,247906.320312,81819.203125,179681.093750,228420.101562
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__14,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_412,2,2,0,9763910.000000,113874.261718,685487.125000,97346.167968,328800.562500,307932.781250,298732.390625,110288.882812,241544.382812,275538.156250
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__15,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_412,3,3,0,13313368.500000,129707.652344,782382.468750,107516.531250,379400.250000,330177.328125,318448.562500,121909.925781,271752.250000,305226.062500
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__16,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_412,4,4,0,15743970.500000,138970.734375,838188.375000,113631.890625,400666.859375,337001.312500,318081.406250,125661.718750,289166.375000,320658.484375
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__17,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_412,5,5,0,16688228.000000,142492.367188,832197.687500,114323.000000,404944.906250,336175.453125,319852.687500,128484.042969,304202.859375,334820.640625
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__18,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_412,6,6,0,17881896.000000,143773.757812,841369.875000,114856.617187,406300.968750,334466.875000,315672.250000,129181.062500,309181.156250,341921.281250
BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur__L2__19,Rasur,BME688_2026-06-25_05-46-09_8g93jctwzpndtn46_Rasur,unsplit,heater_412,7,7,0,18691098.000000,146451.976562,849903.062500,114954.035156,404224.140625,334717.062500,315568.984375,130049.996093,316822.765625,348782.250000
