vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur__L2__0,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur,unsplit,heater_322,0,0,0,984488.031250,16302.645508,26717.029297,117372.593750,132976.187500,140150.296875,22784.558594,84655.937500,122340.894531,148854.320312
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur__L2__1,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur,unsplit,heater_322,1,1,0,6777382.250000,80976.425782,104655.972657,758819.062500,441234.953125,352700.750000,76584.089843,158831.359375,183160.406250,202476.718750
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur__L2__2,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur,unsplit,heater_322,2,2,0,10065814.500000,102083.175781,129555.328125,1010439.812500,535686.046875,416708.859375,91757.484375,196244.359375,219149.476562,234014.562500
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur__L2__3,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur,unsplit,heater_322,3,3,0,12844154.500000,113259.140625,142730.968750,1150951.312500,585682.218750,441734.859375,99837.527343,215407.515625,237944.007812,249366.664062
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur__L2__4,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur,unsplit,heater_322,4,4,0,14640488.500000,118201.011719,149316.828125,1218211.312500,610276.281250,454471.000000,102589.390625,226220.796875,247955.718750,258878.484375
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur__L2__5,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur,unsplit,heater_322,5,5,0,14763338.000000,119179.273438,151592.953125,1257946.125000,618350.593750,454258.671875,103402.847657,233515.195312,255328.968750,264617.679688
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur__L2__6,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur,unsplit,heater_322,6,6,0,15729023.500000,120819.902344,153878.320312,1287265.250000,629743.500000,460099.734375,103880.015625,237329.000000,260217.710938,268426.632812
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur__L2__7,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur,unsplit,heater_322,7,7,0,16007003.000000,120913.191407,153023.734375,1284968.312500,620022.562500,453353.156250,103025.570312,240545.828125,263570.414062,274299.140625
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur__L2__8,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur,unsplit,heater_322,8,8,0,16307466.500000,120026.820312,152803.789062,1272457.562500,617089.656250,446467.015625,101794.531250,239032.484375,262573.968750,270774.093750
BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur__L2__9,Rasur,BME688_2026-06-28_17-05-20_mpkj4wexte0077bm_Rasur,unsplit,heater_412,0,0,0,223988.882812,6185.133301,54739.460938,7368.807861,18409.641601,46688.832031,63592.955078,14955.800781,97447.296875,161886.203125
