vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray__L2__0,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray,unsplit,heater_322,0,0,0,1504808.937500,22932.382812,38269.044922,199569.625000,191379.757812,194195.546875,32725.100586,112366.496093,147005.187500,171015.187500
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray__L2__1,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray,unsplit,heater_322,1,1,0,8869015.000000,93914.257812,120217.925782,926141.437500,542529.093750,436905.515625,89209.597657,182114.375000,211798.140625,232171.070312
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray__L2__2,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray,unsplit,heater_322,2,2,0,13492281.500000,115837.316406,147091.796875,1209414.125000,662743.218750,510687.265625,107792.226562,226866.773438,253271.359375,267747.781250
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray__L2__3,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray,unsplit,heater_322,3,3,0,18145734.000000,131554.402344,166128.414062,1414548.312500,746966.468750,560975.171875,118342.183594,253720.054688,279250.328125,293693.484375
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray__L2__4,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray,unsplit,heater_322,4,4,0,20911604.000000,139314.656250,174863.125000,1532078.375000,779506.656250,578128.234375,124745.742188,269979.281250,295087.515625,307764.593750
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray__L2__5,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray,unsplit,heater_322,5,5,0,22940995.000000,145389.992188,185253.703125,1612680.187500,814903.031250,599702.640625,127553.125000,284277.859375,309703.546875,320793.281250
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray__L2__6,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray,unsplit,heater_322,6,6,0,24902421.000000,149956.710938,190242.710938,1681733.187500,844417.750000,614806.687500,129638.367188,295118.390625,322025.921875,333392.953125
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray__L2__7,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray,unsplit,heater_322,7,7,0,26179675.000000,150714.625000,191449.109375,1697320.000000,854173.625000,614603.375000,131724.820312,301115.390625,329784.156250,338880.609375
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray__L2__8,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray,unsplit,heater_322,8,8,0,27551083.000000,154131.945312,195342.445312,1735654.875000,870689.843750,626983.312500,132674.937500,306178.828125,335060.937500,345990.625000
BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray__L2__9,Raumspray,BME688_2026-07-19_14-56-07_312joss43wbvgnyj_Raumspray,unsplit,heater_322,9,9,0,28956040.000000,156133.515625,197017.304688,1761882.875000,880898.906250,636934.343750,133780.773438,310516.968750,338279.015625,349747.406250
