vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray__L2__0,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray,unsplit,heater_322,0,0,0,141850.242188,5848.246826,9398.277343,35849.994140,53623.818360,64436.736328,11059.798828,57083.230468,103490.046875,141542.992188
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray__L2__1,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray,unsplit,heater_322,1,1,0,8915719.500000,83025.859375,105739.234375,779739.500000,529819.656250,444293.296875,81909.175782,169774.882812,207647.054688,233897.195312
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray__L2__2,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray,unsplit,heater_322,2,2,0,19611654.000000,127559.468750,156103.960938,1326869.625000,815378.000000,643477.750000,115911.171875,240573.507812,269136.312500,290666.640625
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray__L2__3,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray,unsplit,heater_322,3,3,0,27858554.000000,149541.812500,184540.398438,1671563.187500,978827.906250,744683.687500,131981.109375,277560.953125,309677.031250,323808.828125
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray__L2__4,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray,unsplit,heater_322,4,4,0,32813731.000000,162070.539062,203469.976562,1838540.062500,1070265.281250,807606.625000,141123.625000,303772.953125,333958.546875,347222.421875
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray__L2__5,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray,unsplit,heater_322,5,5,0,39706516.000000,175670.382812,216599.570312,2029449.187500,1146719.687500,854942.562500,148233.632812,320482.109375,349321.328125,366889.906250
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray__L2__6,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray,unsplit,heater_322,6,6,0,42357708.000000,182537.406250,224637.226562,2105034.625000,1162026.812500,849454.875000,149059.992188,329138.515625,365539.500000,378454.937500
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray__L2__7,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray,unsplit,heater_322,7,7,0,43322936.000000,185661.687500,228045.359375,2106589.250000,1149765.718750,823844.375000,150211.789062,334515.718750,368488.171875,380409.328125
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray__L2__8,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray,unsplit,heater_322,8,8,0,41660262.000000,182524.851562,225395.539062,2083551.125000,1142989.406250,825571.187500,148983.453125,337689.843750,373475.984375,390048.468750
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray__L2__9,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray,unsplit,heater_322,9,9,0,41059504.000000,180654.812500,222457.960938,2066289.687500,1097239.875000,785186.343750,146280.554688,340880.640625,379296.234375,397553.781250
BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray__L2__10,Raumspray,BME688_2026-07-20_15-29-19_elliogpuyyxdfayw_Raumspray,unsplit,heater_322,10,10,0,44312166.000000,184589.054688,228987.703125,2123441.000000,1139079.812500,810960.250000,148063.585938,346383.296875,383413.250000,401737.046875
