vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__0,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_322,1,1,0,40362984.000000,191946.328125,231147.437500,2211049.000000,1317790.000000,1064724.156250,165287.445312,332090.234375,372844.343750,390819.343750
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__1,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_322,2,2,0,53374492.000000,207790.398438,246697.289062,2415836.875000,1406853.750000,1056648.875000,169629.000000,351806.531250,391624.234375,407940.937500
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__2,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_322,3,3,0,57464460.000000,210576.937500,248799.078125,2453140.000000,1440299.375000,1088294.718750,170133.117188,366136.625000,407066.578125,421309.078125
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__3,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_322,4,4,0,58473844.000000,209287.101562,252360.859375,2424364.625000,1411348.437500,1036611.750000,168439.492188,361917.171875,406119.062500,421856.453125
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__4,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_322,5,5,0,56428490.000000,206090.570312,248207.296875,2392404.625000,1403946.500000,1046598.218750,165774.875000,365893.968750,414736.671875,425223.781250
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__5,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_322,6,6,0,63546052.000000,208114.718750,249124.953125,2420065.500000,1431891.125000,1071320.250000,165435.507812,366751.312500,413407.640625,426366.859375
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__6,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_322,7,7,0,57022742.000000,200113.562500,242537.898438,2328246.750000,1334548.875000,988948.781250,161237.859375,365345.140625,411317.906250,427011.468750
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__7,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_322,8,8,0,60703776.000000,201705.062500,242711.171875,2339181.500000,1373921.062500,1003907.843750,159460.023438,366730.859375,409428.421875,421209.343750
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__8,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_322,9,9,0,50909986.000000,190574.000000,234065.890625,2223424.500000,1258038.125000,919045.718750,153971.320312,358953.328125,407775.109375,423360.875000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__9,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_412,1,1,0,45771008.000000,200075.421875,1775513.625000,155997.117188,587236.937500,497154.859375,466157.078125,169130.210938,391080.187500,429855.828125
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__10,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_412,2,2,0,49654508.000000,206145.312500,1805863.250000,158530.710938,592904.593750,496213.031250,459612.234375,171041.023438,410393.906250,448242.234375
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__11,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_412,3,3,0,52457422.000000,203868.679688,1730033.875000,154252.843750,582074.781250,480743.437500,451537.562500,168248.234375,415798.406250,453760.015625
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__12,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_412,4,4,0,53231024.000000,203257.445312,1690212.187500,152010.210938,572416.375000,470333.296875,438187.937500,165236.531250,417414.046875,454354.921875
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__13,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_412,5,5,0,53931646.000000,199292.054688,1635508.250000,148983.484375,554044.781250,454248.531250,425428.937500,161551.914062,418329.687500,454114.109375
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__14,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_412,6,6,0,52347884.000000,193481.062500,1585192.062500,144980.281250,540864.000000,447118.984375,413327.953125,157889.984375,415948.453125,455891.406250
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__15,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_413,1,1,0,102400000.000000,171622.757812,3700775.250000,147386.570312,677859.531250,432263.328125,339946.109375,144642.171875,287722.671875,311013.562500
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__16,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_413,2,2,0,102400000.000000,179110.273438,3859237.625000,149804.960938,694871.343750,427735.656250,336351.187500,145421.320312,299898.953125,324453.500000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__17,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_413,3,3,0,102400000.000000,179353.125000,3801458.000000,148439.585938,687042.468750,421388.843750,331092.078125,143215.132812,303881.640625,331219.140625
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__18,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_413,4,4,0,102400000.000000,179035.812500,3859504.125000,145759.101562,680710.156250,418545.656250,322918.312500,142196.937500,306904.375000,331621.546875
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__19,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_413,5,5,0,102400000.000000,177369.468750,3840440.625000,145212.140625,670351.281250,412771.640625,320591.453125,140035.007812,308161.718750,332462.843750
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__20,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_413,6,6,0,102400000.000000,175135.734375,3754041.500000,141501.476562,659166.937500,404703.343750,312299.625000,138167.382812,308542.796875,332313.500000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__21,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_413,7,7,0,102400000.000000,173402.289062,3673084.875000,139154.273438,643791.843750,396350.218750,307630.171875,135637.710938,307445.375000,331790.015625
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__22,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_413,8,8,0,102400000.000000,171704.007812,3604714.250000,137387.898438,633467.156250,390783.437500,302199.468750,133721.632812,305117.781250,330859.421875
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__23,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_413,9,9,0,102400000.000000,168756.046875,3445753.625000,135809.257812,621519.531250,380872.265625,298163.015625,132477.359375,303364.484375,330401.796875
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__24,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_413,10,10,0,102400000.000000,167808.000000,3446125.125000,134413.242188,615534.656250,377877.703125,297113.312500,131981.566406,304019.453125,332760.453125
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__25,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_503,1,1,0,395844.921875,136924.656250,271133.921875,160728.359375,359283.687500,480551.203125,981271.031250,4549695.250000,35025182.000000,3287349.500000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__26,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_503,2,2,0,419633.468750,140305.066406,270036.359375,164865.484375,368483.906250,477085.828125,951460.156250,4128310.000000,30937989.000000,2909676.875000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__27,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_503,3,3,0,390905.140625,133454.339843,262150.195312,163651.570312,375280.390625,479488.453125,946225.656250,4189266.500000,32144185.000000,3031448.625000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__28,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_503,4,4,0,391106.765625,130949.539062,255781.156250,160828.695312,375572.890625,476942.890625,937923.843750,4039832.625000,29481211.000000,2684224.375000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__29,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_503,5,5,0,362756.375000,124768.035157,248520.148438,155684.585938,376687.484375,470312.906250,922543.500000,3997112.750000,30324118.000000,2850423.750000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__30,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_503,6,6,0,370785.484375,125440.750000,246809.828125,155922.125000,376603.265625,472295.000000,959259.875000,4269517.500000,33001240.000000,3000546.375000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__31,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_503,7,7,0,369331.500000,124413.531250,240832.335938,152657.015625,372244.468750,465756.078125,909169.875000,3927284.375000,29170964.000000,2771795.125000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__32,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_503,8,8,0,358308.468750,121697.964843,237970.125000,149803.875000,373552.796875,467951.906250,935720.343750,4239216.125000,32360396.000000,2947562.500000
BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen__L2__33,Zähne putzen,BME688_2026-07-15_06-02-20_3lpikz6jqpn9fyxm_Zähne_putzen,unsplit,heater_503,9,9,0,351822.953125,119994.804688,232896.351562,147258.140625,369698.031250,457143.531250,885387.687500,3825884.000000,27269836.000000,2522664.000000
