vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__0,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_322,0,0,0,3308573.875000,49838.822265,81013.312500,498292.640625,374739.937500,337640.281250,61669.250000,205769.367188,250838.921875,276803.343750
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__1,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_322,1,1,0,18549296.000000,150192.843750,182892.625000,1626044.375000,835005.875000,615566.468750,132364.589844,272951.078125,300867.218750,315790.390625
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__2,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_322,2,2,0,23957150.000000,163686.390625,205313.132812,1824295.937500,908743.843750,649399.281250,139215.335938,296415.640625,321324.890625,334331.875000
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__3,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_322,3,3,0,26717778.000000,168225.039062,209640.406250,1889990.937500,925048.281250,653760.281250,140361.148438,305773.171875,333067.468750,344171.750000
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__4,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_322,4,4,0,28026682.000000,169487.429688,212619.804688,1901827.125000,939832.062500,659588.875000,140812.382812,312837.171875,339666.078125,349839.875000
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__5,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_322,5,5,0,28872271.000000,168566.101562,212549.570312,1908875.937500,936963.281250,660239.906250,138634.390625,315717.796875,345733.046875,355168.171875
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__6,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_322,6,6,0,29465379.000000,167881.289062,212083.015625,1888125.125000,934388.343750,656644.125000,138545.296875,318313.375000,347046.812500,357270.359375
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__7,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_322,7,7,0,29283597.000000,164862.859375,207513.242188,1870902.125000,926718.312500,645357.750000,136425.171875,316334.250000,345352.546875,360014.078125
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__8,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_322,8,8,0,30715007.000000,165450.625000,208221.015625,1861650.187500,921675.250000,644421.187500,134803.199219,317496.234375,346427.500000,362179.140625
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__9,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_322,9,9,0,30893115.000000,164265.765625,206549.750000,1847578.250000,934739.406250,646758.687500,133927.218750,315732.906250,344061.171875,362135.281250
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__10,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_412,0,0,0,5689235.000000,59827.326172,416101.031250,52022.429688,156644.007812,218568.109375,245541.445312,76492.351563,263618.437500,314517.937500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__11,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_412,1,1,0,19438590.000000,157737.882812,973053.625000,128931.695312,455690.625000,366757.140625,344212.843750,143346.335938,321837.484375,354601.171875
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__12,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_412,2,2,0,24121546.000000,167705.937500,1042565.406250,134005.539062,476501.031250,372446.046875,343890.062500,147301.562500,340965.875000,374366.390625
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__13,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_412,3,3,0,26404516.000000,171874.960938,1038311.562500,133916.406250,482036.375000,375273.515625,345584.578125,148073.718750,352186.031250,385395.140625
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__14,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_412,4,4,0,26764367.000000,167848.195312,1012631.500000,131747.507812,470042.812500,367657.109375,337471.203125,145908.781250,356896.093750,392153.140625
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__15,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_412,5,5,0,27998537.000000,167212.914062,1012980.968750,128709.105468,463623.750000,358184.234375,330980.765625,143354.218750,358560.640625,395689.515625
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__16,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_412,6,6,0,28774538.000000,167955.414062,1038184.937500,129165.910157,461024.875000,362164.031250,332082.937500,142465.265625,360228.750000,393980.578125
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__17,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_413,0,0,0,7699255.000000,42628.603515,495684.796875,42465.232422,143741.109375,157643.765625,163032.617188,55415.052735,186375.406250,220392.445312
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__18,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_413,1,1,0,78688118.000000,135399.234375,1869660.562500,120016.789063,506388.000000,290207.359375,236737.031250,119408.832031,228278.195312,248351.382812
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__19,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_413,2,2,0,90093768.000000,146095.414062,2003718.187500,125124.152343,531826.265625,297631.687500,236654.031250,122418.386719,242735.593750,259557.445312
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__20,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_413,3,3,0,91981580.000000,147753.062500,2068249.812500,124943.917969,541243.531250,296978.671875,234624.914062,122444.238281,249214.890625,266045.257812
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__21,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_413,4,4,0,97811664.000000,148930.468750,2123576.875000,125394.351562,538050.640625,297283.359375,233338.460938,122536.574219,253283.906250,270766.796875
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__22,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_413,5,5,0,100438168.000000,148603.828125,2170506.437500,124370.707032,535982.671875,294703.218750,231052.117188,121571.902343,252785.960938,270633.687500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__23,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_413,6,6,0,100942696.000000,147198.164062,2155555.875000,123527.226563,529613.281250,292811.968750,229493.914062,121011.578125,256686.867188,274227.687500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__24,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_413,7,7,0,102400000.000000,147462.507812,2131600.375000,122070.285156,519574.656250,287317.937500,224166.812500,119237.597656,255822.515625,272461.656250
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__25,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_413,8,8,0,102400000.000000,145845.398438,2107680.000000,120555.941407,516857.703125,284633.484375,224370.796875,118204.210937,257646.914062,274207.515625
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__26,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_413,9,9,0,102400000.000000,146115.671875,2124429.875000,120193.906250,514599.187500,286546.062500,225329.304688,118203.871094,256803.007812,276558.687500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__27,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_413,10,10,0,102400000.000000,145565.476562,2112168.625000,119167.765625,509218.296875,282351.312500,221453.281250,116750.027343,256209.609375,273887.640625
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__28,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_503,1,1,0,219606.406250,92927.078125,210334.679688,135977.683594,286820.500000,328277.828125,551013.906250,1899848.750000,11307244.000000,1213949.875000
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__29,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_503,2,2,0,237470.000000,97554.460937,212643.304688,142520.015625,299709.453125,330785.750000,551368.781250,1915766.187500,11537625.500000,1214677.687500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__30,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_503,3,3,0,234899.960938,96526.316406,210090.125000,142979.980469,305885.187500,331030.828125,552517.781250,1904443.187500,11488599.500000,1203459.875000
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__31,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_503,4,4,0,231782.796875,94308.402344,206765.140625,141483.941406,308931.890625,334185.562500,559737.531250,1935431.687500,11748227.500000,1221940.812500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__32,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_503,5,5,0,229951.414062,93336.710938,203834.851562,141127.675782,309358.406250,332261.343750,555193.281250,1922950.937500,11608509.500000,1212654.750000
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__33,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_503,6,6,0,228034.179688,92505.394532,201087.390625,138449.488282,312801.421875,332870.671875,561591.312500,1946381.312500,11789357.000000,1218907.687500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__34,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_503,7,7,0,225817.281250,91148.648437,198251.125000,136628.023438,312729.281250,331374.218750,558979.562500,1944364.312500,11911007.500000,1224044.187500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__35,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_503,8,8,0,223805.945312,90451.785156,197543.585938,135394.175781,312372.640625,331433.671875,561201.031250,1961015.625000,12123635.500000,1232909.937500
BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen__L2__36,Zähne putzen,BME688_2026-07-16_06-44-28_d83wxekfauj1deow_Zähne_putzen,unsplit,heater_503,9,9,0,221821.531250,89366.308593,194739.343750,134150.953125,311498.312500,332029.000000,561798.000000,1966189.687500,11771553.000000,1237782.437500
