vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen__L2__0,Zähne putzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen,unsplit,heater_322,0,0,0,1772659.000000,31756.600586,51345.349610,281999.046875,272644.046875,270889.390625,43813.675781,150060.664062,197769.945312,228448.039062
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen__L2__1,Zähne putzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen,unsplit,heater_322,1,1,0,15375443.000000,123420.054688,151243.406250,1279827.625000,749071.250000,584173.250000,111962.718750,230747.320312,260697.937500,280626.531250
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen__L2__2,Zähne putzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen,unsplit,heater_322,2,2,0,20583304.000000,140834.054688,172873.914062,1532072.125000,853801.000000,645834.218750,124279.820312,265769.515625,294044.312500,308998.765625
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen__L2__3,Zähne putzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen,unsplit,heater_322,3,3,0,26093776.000000,152823.593750,190195.398438,1706245.812500,923715.968750,681860.750000,131199.910156,284743.109375,313253.187500,328646.890625
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen__L2__4,Zähne putzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen,unsplit,heater_322,4,4,0,28546803.000000,157936.679688,198698.687500,1775108.250000,958397.437500,697611.562500,133662.574219,295698.265625,326703.703125,339293.718750
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen__L2__5,Zähne putzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen,unsplit,heater_322,5,5,0,30272694.000000,160241.421875,201257.320312,1807407.125000,964168.750000,706615.718750,134606.277343,301632.171875,334425.828125,348262.421875
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen__L2__6,Zähne putzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen,unsplit,heater_322,6,6,0,31524068.000000,162366.835938,203523.023438,1818232.000000,979755.562500,708066.781250,134650.808593,308169.250000,341628.078125,351490.812500
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen__L2__7,Zähne putzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen,unsplit,heater_322,7,7,0,33030184.000000,162334.914062,204183.101562,1835482.125000,984061.406250,707026.156250,134737.019532,310866.921875,344071.406250,357074.953125
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen__L2__8,Zähne putzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen,unsplit,heater_322,8,8,0,34077156.000000,162491.062500,204305.398438,1847315.312500,987331.187500,709970.281250,134027.230468,313829.328125,345017.468750,360203.875000
BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen__L2__9,Zähne putzen,BME688_2026-07-16_21-00-32_7vs92nosv775dsi8_Zähne_putzen,unsplit,heater_412,0,0,0,3614273.625000,35950.064453,294004.671875,34678.972656,102039.261719,164381.218750,199468.257812,57362.314453,211905.976562,269651.468750
