vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__0,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_322,0,0,0,1195690.375000,21664.558594,32281.768555,160727.992188,184553.343750,210787.617188,32566.544922,114491.382812,171473.078125,219884.132812
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__1,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_322,1,1,0,19163141.000000,130370.871093,156599.164062,1333407.750000,857963.562500,689210.375000,121811.164063,241684.796875,280509.937500,306038.031250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__2,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_322,2,2,0,32706962.000000,166669.242188,204431.578125,1874687.375000,1124901.625000,868097.406250,146838.562500,298283.421875,329871.578125,350369.656250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__3,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_322,3,3,0,41133302.000000,186926.171875,226015.992188,2159011.625000,1250506.937500,955852.062500,157384.015625,326854.062500,360192.640625,384324.906250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__4,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_322,4,4,0,48019906.000000,193347.304688,234842.976562,2259209.125000,1314383.312500,990111.937500,160908.148438,344359.828125,383277.140625,403738.406250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__5,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_322,5,5,0,55801590.000000,202577.085938,240900.546875,2336328.875000,1348455.000000,1009760.218750,162807.781250,354221.625000,395665.609375,412990.734375
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__6,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_322,6,6,0,53075544.000000,199773.375000,243018.734375,2337345.250000,1332927.562500,1003141.750000,163710.882812,359665.890625,403727.125000,422190.359375
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__7,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_322,7,7,0,58757810.000000,206626.250000,246573.414062,2391861.375000,1369031.437500,1015835.000000,162983.984375,367100.203125,407973.671875,424428.843750
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__8,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_322,8,8,0,58856360.000000,206105.101562,246121.531250,2381737.750000,1369869.687500,1018400.406250,162762.945312,366600.625000,413719.843750,428567.531250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__9,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_322,9,9,0,58277944.000000,204037.796875,244559.195312,2350299.500000,1404521.750000,1049824.437500,163681.734375,371342.281250,417508.671875,433062.718750
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__10,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_322,10,10,0,60527666.000000,202052.218750,244310.117188,2359133.875000,1399079.437500,1039730.062500,163038.007812,373508.546875,420475.375000,434922.375000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__11,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_412,0,0,0,288803.968750,8521.979492,77272.941407,10873.223144,28076.774414,64112.095703,88540.722656,23693.262696,147571.101562,241779.398438
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__12,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_412,1,1,0,20381343.000000,135847.203125,1175596.312500,116681.664062,418017.671875,393092.406250,392146.828125,134077.156250,295200.062500,347849.203125
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__13,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_412,2,2,0,37149992.000000,170615.937500,1613598.562500,142211.257812,525026.421875,464194.390625,450590.750000,159254.695312,356220.859375,405120.343750
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__14,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_412,3,3,0,54458356.000000,197989.257812,1940452.625000,154756.000000,579806.906250,493057.203125,472651.437500,169406.382812,391899.015625,429227.000000
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__15,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_412,4,4,0,58481584.000000,204357.218750,1943333.187500,156865.773438,589989.062500,492131.531250,464920.906250,171033.921875,410880.609375,449187.781250
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__16,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_412,5,5,0,63621800.000000,208821.773438,2027812.750000,159498.484375,600257.187500,500241.515625,472254.000000,172643.062500,419242.234375,457429.437500
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__17,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_412,6,6,0,65826326.000000,208776.101562,2030756.687500,158613.179688,599707.625000,502065.953125,469552.250000,171629.468750,427015.468750,466024.796875
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__18,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_412,7,7,0,67128122.000000,209822.046875,1988164.875000,157316.679688,594021.937500,496678.062500,462791.437500,170677.265625,429715.453125,468376.703125
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__19,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_413,0,0,0,5539725.250000,26676.271485,318138.406250,27499.485351,85054.304687,118573.644531,134725.179688,37817.478515,136944.562500,191781.187500
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__20,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_413,1,1,0,81852946.000000,123803.886719,2263896.250000,112241.703125,485995.140625,324881.375000,277007.609375,114952.476562,222341.804688,253023.289062
BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen__L2__21,Zähne putzen,BME688_2026-07-19_18-14-12_h65kuvlb8c7c72qt_Zähne_putzen,unsplit,heater_413,2,2,0,101342312.000000,149665.523438,3023861.750000,130194.621093,585731.406250,369638.078125,302434.093750,130021.832032,258868.812500,285759.734375
