vector_id,label,session,category,heater_profile_id,cycle_id_a,cycle_id_b,n_imputed,gasres_step0,gasres_step1,gasres_step2,gasres_step3,gasres_step4,gasres_step5,gasres_step6,gasres_step7,gasres_step8,gasres_step9
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__0,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_322,0,0,0,4689965.000000,41977.052734,67406.500000,415116.171875,340036.718750,321067.031250,53362.324219,175626.539062,227355.992188,258822.976562
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__1,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_322,1,1,0,22793659.000000,141867.445312,171473.078125,1512595.812500,897798.968750,699917.718750,127252.496093,262001.773438,295446.968750,314380.906250
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__2,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_322,2,2,0,30699905.000000,163822.062500,204487.226562,1847534.312500,1048708.812500,784558.625000,142153.023438,299329.750000,327969.671875,344217.406250
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__3,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_322,3,3,0,35247812.000000,173826.179688,216046.664062,1989884.000000,1096628.906250,826831.406250,148593.117188,319541.093750,347248.296875,366680.828125
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__4,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_322,4,4,0,40757000.000000,185361.289062,224953.914062,2098297.875000,1140838.468750,829013.062500,151104.257812,327151.843750,358447.875000,377728.406250
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__5,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_322,5,5,0,41428732.000000,185620.507812,226901.632812,2121550.687500,1130999.156250,823838.343750,151479.820312,332587.765625,367586.140625,381560.656250
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__6,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_322,6,6,0,41805288.000000,186246.882812,227629.320312,2110264.437500,1133958.687500,831306.906250,151947.484375,336556.718750,370665.875000,382116.046875
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__7,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_322,7,7,0,42632792.000000,187839.585938,230440.804688,2133404.812500,1144485.531250,833116.375000,152465.843750,338792.625000,370222.625000,387508.968750
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__8,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_322,8,8,0,43361484.000000,187892.179688,228072.296875,2117990.562500,1132200.812500,810866.312500,150569.531250,339700.343750,372245.859375,383916.343750
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__9,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_322,9,9,0,43428636.000000,185778.226562,227585.656250,2102167.437500,1124099.656250,802262.625000,149796.085938,339074.343750,375339.968750,385500.656250
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__10,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_322,10,10,0,44678124.000000,187329.000000,228838.226562,2111252.750000,1125620.468750,813558.593750,149551.828125,338990.796875,376132.031250,391024.359375
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__11,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_412,0,0,0,1679593.812500,27294.458985,236495.171875,28112.707031,79825.398437,141106.781250,173559.500000,46715.550781,170033.546875,250838.921875
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__12,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_412,1,1,0,18649976.000000,134943.296875,1077262.718750,115617.042969,410978.843750,374116.562500,370182.468750,132516.878906,286157.484375,333908.703125
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__13,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_412,2,2,0,30566856.000000,166171.390625,1367284.625000,136155.945312,493377.562500,424594.015625,400049.390625,150429.617188,333763.375000,374282.781250
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__14,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_412,3,3,0,36186317.000000,177994.929688,1415704.187500,142141.593750,519521.765625,424466.765625,399704.421875,155680.179688,357698.593750,393041.453125
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__15,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_412,4,4,0,39224104.000000,180261.265625,1384662.812500,143036.445312,521606.734375,424110.593750,399945.671875,157921.820312,372662.656250,403860.437500
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__16,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_412,5,5,0,44044730.000000,189662.718750,1473315.937500,145293.070312,534807.687500,421852.609375,397570.109375,157877.835938,376531.812500,410506.031250
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__17,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_412,6,6,0,43138778.000000,187226.046875,1365109.937500,142823.265625,522810.046875,412433.328125,382428.375000,155994.875000,377730.078125,411416.234375
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__18,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_412,7,7,0,46045724.000000,188976.195312,1414680.375000,143290.007812,526022.437500,413829.218750,389424.500000,156294.382812,386219.984375,415414.343750
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__19,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_413,0,0,0,18980120.500000,34630.416015,409032.796875,34081.984375,112760.925781,136989.992188,148694.085938,45887.009765,163758.765625,207974.929688
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__20,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_413,1,1,0,84645266.000000,126915.007812,2160400.500000,112256.066407,480052.109375,308489.812500,258658.937500,114761.742188,224519.804688,251517.492188
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__21,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_413,2,2,0,100107464.000000,144453.156250,2528413.875000,125184.742188,544346.625000,326794.671875,264906.031250,123394.386719,248583.914062,269641.468750
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__22,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_413,3,3,0,102400000.000000,152790.054688,2704286.625000,128751.921875,567300.156250,336748.625000,270564.046875,127883.453125,260034.164062,281148.796875
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__23,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_413,4,4,0,102400000.000000,157002.234375,2712565.750000,130666.761719,576093.250000,328895.625000,259625.437500,126673.382812,265132.929688,283385.406250
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__24,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_413,5,5,0,102400000.000000,158522.921875,2719977.250000,131338.191406,577457.343750,327966.687500,257629.757812,127153.718750,267136.859375,283916.203125
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__25,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_413,6,6,0,102400000.000000,157574.734375,2696774.750000,130686.085938,573832.218750,321312.609375,250504.765625,126529.949219,270349.703125,289961.734375
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__26,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_413,7,7,0,102400000.000000,158725.890625,2805347.000000,131463.269531,576311.406250,319154.500000,247224.875000,125414.722656,270460.015625,290722.296875
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__27,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_413,8,8,0,102400000.000000,159389.843750,2777227.375000,129063.964844,570370.562500,312884.453125,243787.414062,125368.980468,270093.062500,289117.843750
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__28,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_413,9,9,0,102400000.000000,155900.898438,2684943.250000,128768.046875,558590.000000,305551.234375,237745.914062,124544.503906,269136.312500,284021.609375
BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen__L2__29,Zähne putzen,BME688_2026-07-19_23-10-29_u1i9bhwgsl09ll64_Zähne_putzen,unsplit,heater_413,10,10,0,102400000.000000,157154.890625,2671585.375000,128253.140625,556261.562500,302682.031250,235075.773438,123604.007812,270637.593750,287178.453125
